
ja	yes (from german) [interj]
jap	"to splash or spatter, also jaup [v japped, japping, japs]"
japan	"to coat with a glossy black lacquer [v japanned, japanning, japans]"
japanise	"to make japanese, also japanize [v japanised, japanising, japanises]"
japanised	"japanise, to make japanese, also japanize [v]"
japanises	"japanise, to make japanese, also japanize [v]"
japanising	"japanise, to make japanese, also japanize [v]"
japanize	"to make japanese, also japanise [v japanized, japanizing, japanizes]"
japanized	"japanize, to make japanese, also japanise [v]"
japanizes	"japanize, to make japanese, also japanise [v]"
japanizing	"japanize, to make japanese, also japanise [v]"
japanned	"japan, to coat with a glossy black lacquer [v]"
japanner	"one who varnishes in the manner of the japanese, or one skilled in the art [n -s]"
japanners	"japanner, one who varnishes in the manner of the japanese, or one skilled in the art [n]"
japanning	"japan, to coat with a glossy black lacquer [v]"
japans	"japan, to coat with a glossy black lacquer [v]"
jape	"to play a joke [v japed, japing, japes]"
japed	"jape, to play a joke [v]"
japer	one who japes [n -s]
japeries	"japery, jesting, buffoonery [n]"
japers	"japer, one who japes [n]"
japery	"jesting, buffoonery [n japeries]"
japes	"jape, to play a joke [v]"
japing	joking [adj japingly] / the act of japing [n -s]
japingly	"japing, joking [adv]"
japings	"japing, the act of japing [n]"
japonaiserie	(french) art or craft in the japanese style [n -s]
japonaiseries	"japonaiserie, (french) art or craft in the japanese style [n]"
japonica	"any of several plants native to japan, esp. the japanese quince [n -s]"
japonicas	"japonica, any of several plants native to japan, esp. the japanese quince [n]"
japped	"jap, to splash or spatter, also jaup [v]"
japping	"jap, to splash or spatter, also jaup [v]"
japs	"jap, to splash or spatter, also jaup [v]"
jar	"to vibrate from an impact [v jarred, jarring, jars]"
jararaca	"a south american venomous snake, also jararaka [n -s]"
jararacas	"jararaca, a south american venomous snake, also jararaka [n]"
jararaka	"a south american venomous snake, also jararaca [n -s]"
jararakas	"jararaka, a south american venomous snake, also jararaca [n]"
jardiniere	"(french) an ornamental stand or receptacle for plants, flowers, etc., used as a piece of decorative furniture in room; a garnish for meat of cooked vegetables [n -s]"
jardinieres	"jardiniere, (french) an ornamental stand or receptacle for plants, flowers, etc., used as a piece of decorative furniture in room; a garnish for meat of cooked vegetables [n]"
jarful	as much as a container can hold [n jarfuls or jarsful]
jarfuls	"jarful, as much as a container can hold [n]"
jargon	"to use words specific to a trade or group [v -ed, -ing, -s]"
jargoned	"jargon, to use words specific to a trade or group [v]"
jargoneer	"a person who uses jargon, also jargonist [n -s]"
jargoneers	"jargoneer, a person who uses jargon, also jargonist [n]"
jargonel	"an early variety of pear, also jargonelle [n -s]"
jargonelle	"(french) an early variety of pear, also jargonel [n -s]"
jargonelles	"jargonelle, (french) an early variety of pear, also jargonel [n]"
jargonels	"jargonel, an early variety of pear, also jargonelle [n]"
jargoning	"jargon, to use words specific to a trade or group [v]"
jargonisation	"the process of jargonising, also jargonization [n -s]"
jargonisations	"jargonisation, the process of jargonising, also jargonization [n]"
jargonise	"to express in jargon, also jargonize [v jargonised, jargonising, jargonises]"
jargonised	"jargonise, to express in jargon, also jargonize [v]"
jargonises	"jargonise, to express in jargon, also jargonize [v]"
jargonish	of or like jargon [adj]
jargonising	"jargonise, to express in jargon, also jargonize [v]"
jargonist	"a person who uses jargon, also jargoneer [n -s]"
jargonistic	of or like jargon [adj]
jargonists	"jargonist, a person who uses jargon, also jargoneer [n]"
jargonization	"the process of jargonizing, also jargonisation [n -s]"
jargonizations	"jargonization, the process of jargonizing, also jargonisation [n]"
jargonize	"to express in jargon, also jargonise [v jargonized, jargonizing, jargonizes]"
jargonized	"jargonize, to express in jargon, also jargonise [v]"
jargonizes	"jargonize, to express in jargon, also jargonise [v]"
jargonizing	"jargonize, to express in jargon, also jargonise [v]"
jargons	"jargon, to use words specific to a trade or group [v]"
jargony	using jargon [adj]
jargoon	a brilliant pale or colourless zircon [n -s]
jargoons	"jargoon, a brilliant pale or colourless zircon [n]"
jarhead	an american marine soldier [n -s]
jarheads	"jarhead, an american marine soldier [n]"
jarina	the hard seed of a palm tree [n -s]
jarinas	"jarina, the hard seed of a palm tree [n]"
jark	a seal on a document; a safe-conduct [n -s]
jarkman	"(archaic) a vagabond who fabricates counterfeit passes, licenses and certificates for others [n jarkmen]"
jarkmen	"jarkman, (archaic) a vagabond who fabricates counterfeit passes, licenses and certificates for others [n]"
jarks	"jark, a seal on a document; a safe-conduct [n]"
jarl	a scandinavian nobleman [n -s]
jarldom	the domain of a jarl [n -s]
jarldoms	"jarldom, the domain of a jarl [n]"
jarls	"jarl, a scandinavian nobleman [n]"
jarlsberg	(tradename) a norwegian cheese [n -s]
jarlsbergs	"jarlsberg, (tradename) a norwegian cheese [n]"
jarool	"a deciduous tree of the purple loosestrife family, also jarul [n -s]"
jarools	"jarool, a deciduous tree of the purple loosestrife family, also jarul [n]"
jarosite	a sulphate of potassium and iron occurring as yellow or brown crusts on ferruginous ores [n -s]
jarosites	"jarosite, a sulphate of potassium and iron occurring as yellow or brown crusts on ferruginous ores [n]"
jarovise	"to hasten the flowering of a plant, also jarovize [v jarovised, jarovising, jarovises]"
jarovised	"jarovise, to hasten the flowering of a plant, also jarovize [v]"
jarovises	"jarovise, to hasten the flowering of a plant, also jarovize [v]"
jarovising	"jarovise, to hasten the flowering of a plant, also jarovize [v]"
jarovize	"to hasten the flowering of a plant, also jarovise [v jarovized, jarovizing, jarovizes]"
jarovized	"jarovize, to hasten the flowering of a plant, also jarovise [v]"
jarovizes	"jarovize, to hasten the flowering of a plant, also jarovise [v]"
jarovizing	"jarovize, to hasten the flowering of a plant, also jarovise [v]"
jarp	"to tap an egg against another until one breaks, an easter competition [v -ed, -ing, -s]"
jarped	"jarp, to tap an egg against another until one breaks, an easter competition [v]"
jarping	"jarp, to tap an egg against another until one breaks, an easter competition [v]"
jarps	"jarp, to tap an egg against another until one breaks, an easter competition [v]"
jarrah	(native australian) the mahogany-like wood of an australian eucalyptus [n -s]
jarrahs	"jarrah, (native australian) the mahogany-like wood of an australian eucalyptus [n]"
jarred	"jar, to vibrate from an impact [v]"
jarring	harshly discordant [adj jarringly] / the act of jarring [n -s]
jarringly	"jarring, harshly discordant [adv]"
jarrings	"jarring, the act of jarring [n]"
jars	"jar, to vibrate from an impact [v]"
jarsful	"jarful, as much as a container can hold [n]"
jarta	"heart, used as term of endearment in the shetlands, also yarta, yarto [n -s]"
jartas	"jarta, heart, used as term of endearment in the shetlands, also yarta, yarto [n]"
jarul	"a deciduous tree of the purple loosestrife family, also jarool [n -s]"
jaruls	"jarul, a deciduous tree of the purple loosestrife family, also jarool [n]"
jarvey	"a driver of a horse-drawn taxi, also jarvie [n -s]"
jarveys	"jarvey, a driver of a horse-drawn taxi, also jarvie [n]"
jarvie	"a driver of a horse-drawn taxi, also jarvey [n -s]"
jarvies	"jarvie, a driver of a horse-drawn taxi, also jarvey [n]"
jasey	"a wig of worsted, also jasy, jazy [n -s]"
jaseys	"jasey, a wig of worsted, also jasy, jazy [n]"
jasies	"jasy, a wig of worsted, also jasey, jazy [n]"
jasmin	"a genus of oleaceous climbing shrubs, also gessamine, jasmine, jessamine, jessamy [n -s]"
jasmine	"a genus of oleaceous climbing shrubs, also gessamine, jasmin, jessamine, jessamy [n -s]"
jasmines	"jasmine, a genus of oleaceous climbing shrubs, also gessamine, jasmin, jessamine, jessamy [n]"
jasmins	"jasmin, a genus of oleaceous climbing shrubs, also gessamine, jasmine, jessamine, jessamy [n]"
jasmonate	any of several organic compounds that occur in plants and are thought to control processes such as growth and fruit ripening and to aid the plant's defences against disease and insect attack [n -s]
jasmonates	"jasmonate, any of several organic compounds that occur in plants and are thought to control processes such as growth and fruit ripening and to aid the plant's defences against disease and insect attack [n]"
jasp	"(spenser) a precious stone, jasper, also jaspis [n -s]"
jaspe	a cotton cloth with a shaded effect [n -s]
jasper	"a red variety of chert, its color coming from minute particles of included hematite, also jasp, jaspis [n -s]"
jasperise	"to turn into, or cause to resemble, jasper, also jasperize [v jasperised, jasperising, jasperises]"
jasperised	"jasperise, to turn into, or cause to resemble, jasper, also jasperize [v]"
jasperises	"jasperise, to turn into, or cause to resemble, jasper, also jasperize [v]"
jasperising	"jasperise, to turn into, or cause to resemble, jasper, also jasperize [v]"
jasperize	"to turn into, or cause to resemble, jasper, also jasperise [v jasperized, jasperizing, jasperizes]"
jasperized	"jasperize, to turn into, or cause to resemble, jasper, also jasperise [v]"
jasperizes	"jasperize, to turn into, or cause to resemble, jasper, also jasperise [v]"
jasperizing	"jasperize, to turn into, or cause to resemble, jasper, also jasperise [v]"
jasperous	"of or like jasper, also jaspideous [adj]"
jaspers	"jasper, a red variety of chert, its color coming from minute particles of included hematite, also jasp, jaspis [n]"
jasperware	goods made of jasper [n -s]
jasperwares	"jasperware, goods made of jasper [n]"
jaspery	"of or like jasper, also jaspidean, jaspideous [adj]"
jaspes	"jaspe, a cotton cloth with a shaded effect [n]"
jaspidean	"consisting of jasper, or containing jasper, also jaspery, jaspideous [adj]"
jaspideous	"consisting of jasper or containing jasper, also jaspery, jaspidean [adj]"
jaspilite	a rock like jasper [n -s]
jaspilites	"jaspilite, a rock like jasper [n]"
jaspis	"jasper, also jasp [n -es]"
jaspises	"jaspis, jasper, also jasp [n]"
jasps	"jasp, (spenser) a precious stone, jasper, also jaspis [n]"
jass	(obsolete) jazz [n -es]
jasses	"jass, (obsolete) jazz [n]"
jassid	an insect of the leafhopper family [n -s]
jassids	"jassid, an insect of the leafhopper family [n]"
jasy	"a wig of worsted, also jasey, jazy [n jasies]"
jataka	(pali) the birth-story of buddha [n -s]
jatakas	"jataka, (pali) the birth-story of buddha [n]"
jato	a jet-assisted take off [n -s]
jatos	"jato, a jet-assisted take off [n]"
jatropha	"any plant of the genus jatropha, esp. jatropha curcas, whose seeds yield an oil that can be used as a biofuel [n -s]"
jatrophas	"jatropha, any plant of the genus jatropha, esp. jatropha curcas, whose seeds yield an oil that can be used as a biofuel [n]"
jauk	"to dawdle [v -ed, -ing, -s]"
jauked	"jauk, to dawdle [v]"
jauking	"jauk, to dawdle [v]"
jauks	"jauk, to dawdle [v]"
jaunce	"to prance, also jaunse [v jaunced, jauncing, jaunces]"
jaunced	"jaunce, to prance, also jaunse [v]"
jaunces	"jaunce, to prance, also jaunse [v]"
jauncing	"jaunce, to prance, also jaunse [v]"
jaundice	"to prejudice unfavourably [v jaundiced, jaundicing, jaundices]"
jaundiced	"jaundice, to prejudice unfavourably [v]"
jaundices	"jaundice, to prejudice unfavourably [v]"
jaundicing	"jaundice, to prejudice unfavourably [v]"
jaunse	"to prance, also jaunce [v jaunsed, jaunsing, jaunses]"
jaunsed	"jaunse, to prance, also jaunce [v]"
jaunses	"jaunse, to prance, also jaunce [v]"
jaunsing	"jaunse, to prance, also jaunce [v]"
jaunt	"to go on a pleasure trip [v -ed, -ing, -s]"
jaunted	"jaunt, to go on a pleasure trip [v]"
jauntee	"(obsolete) jaunty, sprightly, also jantee, janty, jauntie, jaunty [adj]"
jauntie	"a naval master-at-arms, also jonty [n -s]"
jauntier	"jaunty, briskly self-assured, also janty, jantee, jauntee, jauntie [adj]"
jaunties	"jauntie, a naval master-at-arms, also jonty [n]"
jauntiest	"jaunty, briskly self-assured, also janty, jantee, jauntee, jauntie [adj]"
jauntily	"jaunty, briskly self-assured, also janty, jantee, jauntee, jauntie [adv]"
jauntiness	the state of being jaunty [n -es]
jauntinesses	"jauntiness, the state of being jaunty [n]"
jaunting	"jaunt, to go on a pleasure trip [v]"
jauntingly	jaunting [adv]
jaunts	"jaunt, to go on a pleasure trip [v]"
jaunty	"briskly self-assured, also janty, jantee, jauntee, jauntie [adj jauntier, jauntiest, jauntily]"
jaup	"(scots) to splash or spatter, also jap [v -ed, -ing, -s]"
jauped	"jaup, (scots) to splash or spatter, also jap [v]"
jauping	"jaup, (scots) to splash or spatter, also jap [v]"
jaups	"jaup, (scots) to splash or spatter, also jap [v]"
java	a type of coffee [n -s]
javas	"java, a type of coffee [n]"
javel	(spenser) a worthless fellow [n -s]
javelin	"to pierce with a light spear [v -ed, -ing, -s]"
javelina	"(spanish) a wild boar, also known as a peccary [n -s]"
javelinas	"javelina, (spanish) a wild boar, also known as a peccary [n]"
javelined	"javelin, to pierce with a light spear [v]"
javelining	"javelin, to pierce with a light spear [v]"
javelins	"javelin, to pierce with a light spear [v]"
javels	"javel, (spenser) a worthless fellow [n]"
jaw	"to chatter at length [v -ed, -ing, -s]"
jawan	an indian common soldier [n -s]
jawans	"jawan, an indian common soldier [n]"
jawari	"indian millet, aka durra, also jowar, jowari [n -s]"
jawaris	"jawari, indian millet, aka durra, also jowar, jowari [n]"
jawbation	"a long, tedious rebuke or harangue, also jobation [n -s]"
jawbations	"jawbation, a long, tedious rebuke or harangue, also jobation [n]"
jawbone	"to lecture or scold [v jawboned, jawboning, jawbones]"
jawboned	"jawbone, to lecture or scold [v]"
jawboner	"one who engages in jawboning, i.e. governmental urging of industry to accept wage restraints etc. [n -s]"
jawboners	"jawboner, one who engages in jawboning, i.e. governmental urging of industry to accept wage restraints etc. [n]"
jawbones	"jawbone, to lecture or scold [v]"
jawboning	governmental urging of industry to accept wage restraints etc. [n -s]
jawbonings	"jawboning, governmental urging of industry to accept wage restraints etc. [n]"
jawbox	(scots) a sink [n -es]
jawboxes	"jawbox, (scots) a sink [n]"
jawbreaker	a word hard to pronounce [n -s]
jawbreakers	"jawbreaker, a word hard to pronounce [n]"
jawbreaking	difficult to pronounce [adj jawbreakingly]
jawbreakingly	"jawbreaking, difficult to pronounce [adv]"
jawcrusher	a heavy-duty rock-breaking machine with hinged jaws [n -s]
jawcrushers	"jawcrusher, a heavy-duty rock-breaking machine with hinged jaws [n]"
jawed	"jaw, to chatter at length [v]"
jawfall	a falling of the jaw; a depression of the spirits [n -s]
jawfalls	"jawfall, a falling of the jaw; a depression of the spirits [n]"
jawhole	(scots) a cesspool; a sewer entrance [n -s]
jawholes	"jawhole, (scots) a cesspool; a sewer entrance [n]"
jawing	chattering at length [n -s]
jawings	"jawing, chattering at length [n]"
jawless	without a jaw [adj]
jawlike	resembling the framework of the mouth [adj]
jawline	the outline of the lower jaw [n -s]
jawlines	"jawline, the outline of the lower jaw [n]"
jaws	"jaw, to chatter at length [v]"
jaxie	"the posterior, also jaxy, jacksie, jacksy [n -s]"
jaxies	"jaxie, the posterior, also jaxy, jacksie, jacksy [n]"
jaxy	"the posterior, also jaxie, jacksie, jacksy [n jaxies]"
jay	"a corvine bird, also jaybird [n -s]"
jaybird	"a corvine bird, also jay [n -s]"
jaybirds	"jaybird, a corvine bird, also jay [n]"
jaycee	"a member of a junior chamber of commerce, an organization that promotes business skills for young people [n -s]"
jaycees	"jaycee, a member of a junior chamber of commerce, an organization that promotes business skills for young people [n]"
jaygee	a military officer [n -s]
jaygees	"jaygee, a military officer [n]"
jayhawker	"a name given to a freebooting, unenlisted, armed man or guerrilla in the american civil war [n -s]"
jayhawkers	"jayhawker, a name given to a freebooting, unenlisted, armed man or guerrilla in the american civil war [n]"
jays	"jay, a corvine bird, also jaybird [n]"
jayvee	a junior varsity player [n -s]
jayvees	"jayvee, a junior varsity player [n]"
jaywalk	"to cross a street carelessly [v -ed, -ing, -s]"
jaywalked	"jaywalk, to cross a street carelessly [v]"
jaywalker	one who walks in the road rather than on the pavement [n -s]
jaywalkers	"jaywalker, one who walks in the road rather than on the pavement [n]"
jaywalking	walking in the road rather than on the pavement [n -s]
jaywalkings	"jaywalking, walking in the road rather than on the pavement [n]"
jaywalks	"jaywalk, to cross a street carelessly [v]"
jazerant	"(historical) a coat of mail made of small plates of metal sewed upon linen or the like, also jesserant [n -s]"
jazerants	"jazerant, (historical) a coat of mail made of small plates of metal sewed upon linen or the like, also jesserant [n]"
jazies	"jazy, a wig, also jasey, jasy [n]"
jazy	"a wig, also jasey, jasy [n jazies]"
jazz	"to liven up the beat of [v -ed, -ing, -es] / a musical form with syncopated rhythms [n -es]"
jazzbo	a devotee of jazz (a style of lively syncopated music) [n -s]
jazzbos	"jazzbo, a devotee of jazz (a style of lively syncopated music) [n]"
jazzed	"jazz, to liven up the beat of [v]"
jazzer	a jazz musician [n -s]
jazzers	"jazzer, a jazz musician [n]"
jazzes	"jazz, to liven up the beat of [v]"
jazzier	"jazzy, of or like jazz, noisy, garish [adj]"
jazziest	"jazzy, of or like jazz, noisy, garish [adj]"
jazzily	"jazzy, of or like jazz, noisy, garish [adv]"
jazziness	the state of being jazzy [n -es]
jazzinesses	"jazziness, the state of being jazzy [n]"
jazzing	"jazz, to liven up the beat of [v]"
jazzlike	resembling a type of music [adj]
jazzman	a musician who plays jazz [n jazzmen]
jazzmen	"jazzman, a musician who plays jazz [n]"
jazzy	"of or like jazz, noisy, garish [adj jazzier, jazziest, jazzily]"
jealous	"envious of others, also gealous [adj jealously]"
jealouse	"(scots) to suspect, also jalouse [v jealoused, jealousing, jealouses]"
jealoused	"jealouse, (scots) to suspect, also jalouse [v]"
jealouses	"jealouse, (scots) to suspect, also jalouse [v]"
jealoushood	(shakespeare) jealousy [n -s]
jealoushoods	"jealoushood, (shakespeare) jealousy [n]"
jealousies	"jealousy, a jealous feeling, also gealousy, gelosy [n]"
jealousing	"jealouse, (scots) to suspect, also jalouse [v]"
jealously	"jealous, envious of others, also gealous [adv]"
jealousness	the state of being jealous [n -es]
jealousnesses	"jealousness, the state of being jealous [n]"
jealousy	"a jealous feeling, also gealousy, gelosy [n jealousies]"
jean	a durable cotton fabric [n -s]
jeaned	wearing jeans [adj]
jeanette	"a light or coarse jean, a twilled cotton cloth [n -s]"
jeanettes	"jeanette, a light or coarse jean, a twilled cotton cloth [n]"
jeans	"jean, a durable cotton fabric [n]"
jeat	"(obsolete) jet, the mineral [n -s]"
jeats	"jeat, (obsolete) jet, the mineral [n]"
jebel	"(arabic) a hill, a range of mountains, also djebel [n -s]"
jebels	"jebel, (arabic) a hill, a range of mountains, also djebel [n]"
jedi	(tradename) a person who claims to live according to a philosophy based on that of the fictional jedi in 'star wars' [n -s]
jedis	"jedi, (tradename) a person who claims to live according to a philosophy based on that of the fictional jedi in 'star wars' [n]"
jee	"to turn to the right [v jeed, jeeing, jees]"
jeed	"jee, to turn to the right [v]"
jeeing	"jee, to turn to the right [v]"
jeel	"(scots) extreme cold; jelly [n -s] / to set, jell, also jeelie, jeely [v -ed, -ing, -s]"
jeeled	"jeel, to set, jell, also jeelie, jeely [v]"
jeelie	"to make into a jelly, also jelly, jeely [v jeelied, jeelieing, jeelies]"
jeelied	"jeelie, to make into a jelly, also jelly, jeely [v]"
jeelieing	"jeelie, to make into a jelly, also jelly, jeely [v]"
jeelies	"jeelie, to make into a jelly, also jelly, jeely [v]"
jeeling	"jeel, to set, jell, also jeelie, jeely [v]"
jeels	"jeel, to set, jell, also jeelie, jeely [v]"
jeely	"to make into a jelly, also jelly, jeelie [v jeelied, jeelying, jeelies]"
jeelying	"jeely, to make into a jelly, also jelly, jeelie [v]"
jeep	"to travel by a four wheeled drive vehicle [v -ed, -ing, -s]"
jeeped	"jeep, to travel by a four wheeled drive vehicle [v]"
jeepers	used as a mild oath [interj]
jeeping	"jeep, to travel by a four wheeled drive vehicle [v]"
jeepney	"in the philippines, a small vehicle constructed from a jeep [n -s]"
jeepneys	"jeepney, in the philippines, a small vehicle constructed from a jeep [n]"
jeeps	"jeep, to travel by a four wheeled drive vehicle [v]"
jeer	"to mock, also geare [v -ed, -ing, -s]"
jeered	"jeer, to mock, also geare [v]"
jeerer	one who jeers [n -s]
jeerers	"jeerer, one who jeers [n]"
jeering	mocking [adj jeeringly] / the act of jeering [n -s]
jeeringly	"jeering, mocking [adv]"
jeerings	"jeering, the act of jeering [n]"
jeers	"jeer, to mock, also geare [v]"
jees	"jee, to turn to the right [v]"
jeesly	"used as an intensifier, also jeezely, jeezly [adj]"
jeez	"an interjection expressing consternation, also geez, jeeze [interj]"
jeeze	"an interjection expressing consternation, also geez, jeez [interj]"
jeezely	"used as an intensifier, also jeesly, jeezly [adj]"
jeezly	"used as an intensifier, also jeesly, jeezely [adj]"
jefe	(spanish) a chief [n -s]
jefes	"jefe, (spanish) a chief [n]"
jeff	"(australian slang) to ruthlessly downsize an organisation, also kennett (after jeff kennett, premier of victoria) [v -ed, -ing, -s]"
jeffed	"jeff, (australian slang) to ruthlessly downsize an organisation, also kennett (after jeff kennett, premier of victoria) [v]"
jeffing	"jeff, (australian slang) to ruthlessly downsize an organisation, also kennett (after jeff kennett, premier of victoria) [v]"
jeffs	"jeff, (australian slang) to ruthlessly downsize an organisation, also kennett (after jeff kennett, premier of victoria) [v]"
jeggings	tight-fitting trousers in a lightweight fabric with the colour and appearance of denim [n]
jehad	"in islam, a holy war, also jihad [n -s]"
jehadeen	"islamic freedom fighters, also jihadeen [n]"
jehadi	"one who takes part in a jehad, also jihadi, jehadist, jihadist [n -s]"
jehadis	"jehadi, one who takes part in a jehad, also jihadi, jehadist, jihadist [n]"
jehadism	"promotion of jehad, also jihadism [n -s]"
jehadisms	"jehadism, promotion of jehad, also jihadism [n]"
jehadist	"one who takes part in a jehad, also jehadi, jihadi, jihadist [n -s]"
jehadists	"jehadist, one who takes part in a jehad, also jehadi, jihadi, jihadist [n]"
jehads	"jehad, in islam, a holy war, also jihad [n]"
jehu	"a coachman, esp. one who drives at a rattling pace [n -s]"
jehus	"jehu, a coachman, esp. one who drives at a rattling pace [n]"
jeistiecor	(scots) a close-fitting garment [n -s]
jeistiecors	"jeistiecor, (scots) a close-fitting garment [n]"
jejuna	"jejunum, (latin) the middle division of the small intestine, between the duodenum and ileum [n]"
jejunal	pertaining to the jejunum [adj]
jejune	lacking interest or significance; dull or insipid [adj jejunely]
jejunely	"jejune, lacking interest or significance; dull or insipid [adv]"
jejuneness	the quality of being jejune [n -es]
jejunenesses	"jejuneness, the quality of being jejune [n]"
jejunities	"jejunity, something that is naive [n]"
jejunity	something that is naive [n jejunities]
jejunostomies	"jejunostomy, surgical excision of the jejunum [n]"
jejunostomy	surgical excision of the jejunum [n jejunostomies]
jejunum	"(latin) the middle division of the small intestine, between the duodenum and ileum [n jejuna or jejunums]"
jejunums	"jejunum, (latin) the middle division of the small intestine, between the duodenum and ileum [n]"
jelab	"a middle eastern hooded cloak, also djellaba, galabea, galabeah, galabia, galabiah, galabieh, galabiya, galabiyah, gallabea, gallabia, jellaba, jellabah [n -s]"
jelabs	"jelab, a middle eastern hooded cloak, also djellaba, galabea, galabeah, galabia, galabiah, galabieh, galabiya, galabiyah, gallabea, gallabia, jellaba, jellabah [n]"
jell	"to set like jelly [v -ed, -ing, -s]"
jellaba	"an arab cloak with a hood and wide sleeves, also djellaba, djellabah, galabea, galabeah, galabia, galabiah, galabieh, galabiya, galabiyah, gallabea, gallabeah, gallabia, gallabiah, gallabieh, gallabiya, gallabiyah, gallabiyeh, jelab, jellabah [n -s]"
jellabah	"an arab cloak with a hood and wide sleeves, also djellaba, djellabah, galabea, galabeah, galabia, galabiah, galabieh, galabiya, galabiyah, gallabea, gallabeah, gallabia, gallabiah, gallabieh, gallabiya, gallabiyah, gallabiyeh, jelab, jellaba [n -s]"
jellabahs	"jellabah, an arab cloak with a hood and wide sleeves, also djellaba, djellabah, galabea, galabeah, galabia, galabiah, galabieh, galabiya, galabiyah, gallabea, gallabeah, gallabia, gallabiah, gallabieh, gallabiya, gallabiyah, gallabiyeh, jelab, jellaba [n]"
jellabas	"jellaba, an arab cloak with a hood and wide sleeves, also djellaba, djellabah, galabea, galabeah, galabia, galabiah, galabieh, galabiya, galabiyah, gallabea, gallabeah, gallabia, gallabiah, gallabieh, gallabiya, gallabiyah, gallabiyeh, jelab, jellabah [n]"
jelled	"jell, to set like jelly [v]"
jellied	"jelly, to make into a jelly, also jeelie, jeely [v]"
jellies	"jelly, to make into a jelly, also jeelie, jeely [v]"
jellification	the act of jellifying [n -s]
jellifications	"jellification, the act of jellifying [n]"
jellified	"jellify, to turn to jelly [v]"
jellifies	"jellify, to turn to jelly [v]"
jellify	"to turn to jelly [v jellified, jellifying, jellifies]"
jellifying	"jellify, to turn to jelly [v]"
jelling	"jell, to set like jelly [v]"
jello	(tradename) a dessert made from flavoured gelatine [n -s]
jellos	"jello, (tradename) a dessert made from flavoured gelatine [n]"
jells	"jell, to set like jelly [v]"
jelly	"to make into a jelly, also jeelie, jeely [v jellied, jellying, jellies]"
jellybean	a bean-shaped sweet with a brightly coloured coating around a gelatinous filling [n -s]
jellybeans	"jellybean, a bean-shaped sweet with a brightly coloured coating around a gelatinous filling [n]"
jellyfish	a marine coelenterate with jellylike body [n -es]
jellyfishes	"jellyfish, a marine coelenterate with jellylike body [n]"
jellygraph	"to copy by jellygraph, an old device for copying that used a plate of jelly [v -ed, -ing, -s]"
jellygraphed	"jellygraph, to copy by jellygraph, an old device for copying that used a plate of jelly [v]"
jellygraphing	"jellygraph, to copy by jellygraph, an old device for copying that used a plate of jelly [v]"
jellygraphs	jellygraph [n]
jellying	"jelly, to make into a jelly, also jeelie, jeely [v]"
jellylike	like a jelly [adj]
jellyroll	a type of cake [n -s]
jellyrolls	"jellyroll, a type of cake [n]"
jelutong	"a naturally occurring rubberlike substance, aka pontianak [n -s]"
jelutongs	"jelutong, a naturally occurring rubberlike substance, aka pontianak [n]"
jemadar	"(urdu) in the native army of india, an officer of a rank corresponding to that of lieutenant in the english army, also jamadar, jemidar [n -s]"
jemadars	"jemadar, (urdu) in the native army of india, an officer of a rank corresponding to that of lieutenant in the english army, also jamadar, jemidar [n]"
jembe	(swahili) a hoe [n -s]
jembes	"jembe, (swahili) a hoe [n]"
jemidar	"(urdu) in the native army of india, an officer of a rank corresponding to that of lieutenant in the english army, also jamadar, jemadar [n -s]"
jemidars	"jemidar, (urdu) in the native army of india, an officer of a rank corresponding to that of lieutenant in the english army, also jamadar, jemadar [n]"
jemima	an elastic-sided boot [n -s]
jemimas	"jemima, an elastic-sided boot [n]"
jemmied	"jemmy, to force open with a short crowbar, also jimmie, jimmy [v]"
jemmier	"jemmy, neat, smart [adj]"
jemmies	"jemmy, to force open with a short crowbar, also jimmie, jimmy [v]"
jemmiest	"jemmy, neat, smart [adj]"
jemminess	spruceness [n -es]
jemminesses	"jemminess, spruceness [n]"
jemmy	"neat, smart [adj jemmier, jemmiest] / to force open with a short crowbar, also jimmie, jimmy [v jemmied, jemmying, jemmies]"
jemmying	"jemmy, to force open with a short crowbar, also jimmie, jimmy [v]"
jennet	"a small spanish horse, a jenny donkey, also genet, genette, gennet [n -s]"
jenneting	"an early type of apple, also juneating [n -s]"
jennetings	"jenneting, an early type of apple, also juneating [n]"
jennets	"jennet, a small spanish horse, a jenny donkey, also genet, genette, gennet [n]"
jennies	"jenny, a female donkey [n]"
jenny	a female donkey [n jennies]
jeofail	(obsolete) an omission or oversight in a law proceeding [n -s]
jeofails	"jeofail, (obsolete) an omission or oversight in a law proceeding [n]"
jeon	"(korean) a monetary unit of south korea, also chon [n -s]"
jeons	"jeon, (korean) a monetary unit of south korea, also chon [n]"
jeopard	"to put in jeopardy; to imperil [v -ed, -ing, -s]"
jeoparded	"jeopard, to put in jeopardy; to imperil [v]"
jeoparder	one who puts in jeopardy [n -s]
jeoparders	"jeoparder, one who puts in jeopardy [n]"
jeopardied	jeopardy [v]
jeopardies	jeopardy [v]
jeoparding	"jeopard, to put in jeopardy; to imperil [v]"
jeopardise	"to expose to loss or injury, also jeopardize [v jeopardised, jeopardising, jeopardises]"
jeopardised	"jeopardise, to expose to loss or injury, also jeopardize [v]"
jeopardises	"jeopardise, to expose to loss or injury, also jeopardize [v]"
jeopardising	"jeopardise, to expose to loss or injury, also jeopardize [v]"
jeopardize	"to expose to loss or injury, also jeopardise [v jeopardized, jeopardizing, jeopardizes]"
jeopardized	"jeopardize, to expose to loss or injury, also jeopardise [v]"
