
ha	expressing surprise [interj]
hebona	"anything with a poisonous juice, also hebenon [n -s]"
hebonas	"hebona, anything with a poisonous juice, also hebenon [n]"
hebraisation	"the act of hebraising, also hebraization [n -s]"
hebraisations	"hebraisation, the act of hebraising, also hebraization [n]"
hebraise	"to make hebrew, also hebraize [v hebraised, hebraising, hebraises]"
hebraised	"hebraise, to make hebrew, also hebraize [v]"
hebraises	"hebraise, to make hebrew, also hebraize [v]"
hebraising	"hebraise, to make hebrew, also hebraize [v]"
hebraization	"the act of hebraizing, also hebraisation [n -s]"
hebraizations	"hebraization, the act of hebraizing, also hebraisation [n]"
hebraize	"to make hebrew, also hebraise [v hebraized, hebraizing, hebraizes]"
hebraized	"hebraize, to make hebrew, also hebraise [v]"
hebraizes	"hebraize, to make hebrew, also hebraise [v]"
hebraizing	"hebraize, to make hebrew, also hebraise [v]"
hecatomb	a great public sacrifice [n -s]
hecatombs	"hecatomb, a great public sacrifice [n]"
hech	an exclamation of surprise [interj]
hecht	"to command, also hight, hete [v -ing, -s]"
hechting	"hecht, to command, also hight, hete [v]"
hechts	"hecht, to command, also hight, hete [v]"
heck	"the lower part of a door, an inner door, a grating [n -s]"
heckelphone	an instrument of the oboe family [n -s]
heckelphones	"heckelphone, an instrument of the oboe family [n]"
heckle	"a comb for flax or hemp, also hackle, hatchel [n -s] / to harass a speaker [v heckled, heckling, heckles]"
heckled	"heckle, to harass a speaker [v]"
heckler	one that heckles [n -s]
hecklers	"heckler, one that heckles [n]"
heckles	"heckle, to harass a speaker [v]"
heckling	the act of disrupting a speaker [n -s]
hecklings	"heckling, the act of disrupting a speaker [n]"
hecks	"heck, the lower part of a door, an inner door, a grating [n]"
heckuva	a heck of a [adj]
hecogenin	"a chemical obtained from various plants, esp. sisal, used in the manufacture of cortisone [n -s]"
hecogenins	"hecogenin, a chemical obtained from various plants, esp. sisal, used in the manufacture of cortisone [n]"
hectare	"a measure of area, 100 ares or 10000 square metres, also hektare [n -s]"
hectares	"hectare, a measure of area, 100 ares or 10000 square metres, also hektare [n]"
hectic	"habitual, esp. in wasting diseases, feverish [adj hecticly or hectically] / a hectic fever [n -s]"
hectical	"hectic, flushed [adj hectically]"
hectically	"hectical, hectic, flushed [adv]"
hecticly	"hectic, habitual, esp. in wasting diseases, feverish [adv]"
hectics	"hectic, a hectic fever [n]"
hectocotyli	"hectocotylus, a tentacle in certain male cephalopod molluscs, such as the octopus, that is specialized for transferring spermatozoa to the female [n]"
hectocotylus	"a tentacle in certain male cephalopod molluscs, such as the octopus, that is specialized for transferring spermatozoa to the female [n hectocotyli]"
hectogram	"a measure of weight, containing a hundred grams, also hectogramme, hektogram [n -s]"
hectogramme	"a measure of weight, containing a hundred grams, also hectogram, hektogram [n -s]"
hectogrammes	"hectogramme, a measure of weight, containing a hundred grams, also hectogram, hektogram [n]"
hectograms	"hectogram, a measure of weight, containing a hundred grams, also hectogramme, hektogram [n]"
hectograph	"a contrivance for multiple copying, by means of a surface of gelatin softened with glycerin [n -s] / to copy by hectograph [v -ed, -ing, -s]"
hectographed	"hectograph, to copy by hectograph [v]"
hectographic	relating to a hectograph [adj]
hectographies	"hectography, the process of copying using a hectograph [n]"
hectographing	"hectograph, to copy by hectograph [v]"
hectographs	"hectograph, to copy by hectograph [v]"
hectography	the process of copying using a hectograph [n hectographies]
hectoliter	"a measure of liquids, containing a hundred liters, also hectolitre [n -s]"
hectoliters	"hectoliter, a measure of liquids, containing a hundred liters, also hectolitre [n]"
hectolitre	"a measure of liquids, containing a hundred liters, also hectoliter [n -s]"
hectolitres	"hectolitre, a measure of liquids, containing a hundred liters, also hectoliter [n]"
hectometer	"a measure of length, equal to a hundred meters, also hectometre [n -s]"
hectometers	"hectometer, a measure of length, equal to a hundred meters, also hectometre [n]"
hectometre	"a measure of length, equal to a hundred meters, also hectometer [n -s]"
hectometres	"hectometre, a measure of length, equal to a hundred meters, also hectometer [n]"
hector	"to intimidate or harass by bluster or personal pressure [v -ed, -ing, -s]"
hectored	"hector, to intimidate or harass by bluster or personal pressure [v]"
hectorer	one who hectors [n -s]
hectorers	"hectorer, one who hectors [n]"
hectoring	intimidating [adj hectoringly] / the act of hectoring [n -s]
hectoringly	"hectoring, intimidating [adv]"
hectorings	"hectoring, the act of hectoring [n]"
hectorism	the disposition or the practice of a hector [n -s]
hectorisms	"hectorism, the disposition or the practice of a hector [n]"
hectorly	hector [adv]
hectors	"hector, to intimidate or harass by bluster or personal pressure [v]"
hectorship	"blustering, bullying [n -s]"
hectorships	"hectorship, blustering, bullying [n]"
hectostere	"a measure of solidity, containing one hundred cubic meters [n -s]"
hectosteres	"hectostere, a measure of solidity, containing one hundred cubic meters [n]"
hedarim	"heder, (hebrew) a jewish school, also cheder [n]"
heddle	"to draw thread through eyes of a loom [v heddled, heddling, heddles]"
heddled	"heddle, to draw thread through eyes of a loom [v]"
heddles	"heddle, to draw thread through eyes of a loom [v]"
heddling	"heddle, to draw thread through eyes of a loom [v]"
heder	"(hebrew) a jewish school, also cheder [n heders, hadarim or hedarim]"
hedera	(latin) ivy [n -s]
hederal	pertaining to a particular ivy genus [adj]
hederas	"hedera, (latin) ivy [n]"
hederated	"crowned with a wreath of ivy, also hederal [adj]"
heders	"heder, (hebrew) a jewish school, also cheder [n]"
hedge	"to enclose with a dense row of bushes [v hedged, hedging, hedges]"
hedgebill	"a bill for dressing hedges, a kind of long-handled hatchet [n -s]"
hedgebills	"hedgebill, a bill for dressing hedges, a kind of long-handled hatchet [n]"
hedged	"hedge, to enclose with a dense row of bushes [v]"
hedgehog	"a small spiny mammal, also hedgepig [n -s]"
hedgehogs	"hedgehog, a small spiny mammal, also hedgepig [n]"
hedgehop	"of a plane, to fly at ground level [v hedgehopped, hedgehopping, hedgehops]"
hedgehopped	"hedgehop, of a plane, to fly at ground level [v]"
hedgehopper	"a pilot who hedgehops, flies low [n -s]"
hedgehoppers	"hedgehopper, a pilot who hedgehops, flies low [n]"
hedgehopping	flying a plane at ground level [n -s]
hedgehoppings	"hedgehopping, flying a plane at ground level [n]"
hedgehops	"hedgehop, of a plane, to fly at ground level [v]"
hedgepig	"a small spiny mammal, also hedgehog [n -s]"
hedgepigs	"hedgepig, a small spiny mammal, also hedgehog [n]"
hedger	one that hedges [n -s]
hedgerow	a row of bushes [n -s]
hedgerows	"hedgerow, a row of bushes [n]"
hedgers	"hedger, one that hedges [n]"
hedges	"hedge, to enclose with a dense row of bushes [v]"
hedgier	"hedgy, abounding in hedges [adj]"
hedgiest	"hedgy, abounding in hedges [adj]"
hedging	the work of a hedger [n -s]
hedgingly	hedging [adv]
hedgings	"hedging, the work of a hedger [n]"
hedgy	"abounding in hedges [adj hedgier, hedgiest]"
hedonic	pertaining to pleasure [adj hedonically]
hedonically	"hedonic, pertaining to pleasure [adv]"
hedonics	the doctrine of pleasure; that part of ethics which treats of pleasure [n]
hedonism	the pursuit of pleasure [n -s]
hedonisms	"hedonism, the pursuit of pleasure [n]"
hedonist	one who believes that pleasure is the chief good in life [n -s]
hedonistic	"following the doctrines of hedonism, that avoidance of pain is the supreme good [adj hedonistically]"
hedonistically	"hedonistic, following the doctrines of hedonism, that avoidance of pain is the supreme good [adv]"
hedonists	"hedonist, one who believes that pleasure is the chief good in life [n]"
hedyphane	"a white variety of green lead ore, arsenate, phosphate and chlorate of lead and calcium with barium [n -s]"
hedyphanes	"hedyphane, a white variety of green lead ore, arsenate, phosphate and chlorate of lead and calcium with barium [n]"
heed	"to pay attention to [v -ed, -ing, -s]"
heeded	"heed, to pay attention to [v]"
heeder	one who heeds [n -s]
heeders	"heeder, one who heeds [n]"
heedful	paying close attention [adj heedfully]
heedfully	"heedful, paying close attention [adv]"
heedfulness	the state of being heedful [n -es]
heedfulnesses	"heedfulness, the state of being heedful [n]"
heedier	"heedy, (spenser) heedful, careful [adj]"
heediest	"heedy, (spenser) heedful, careful [adj]"
heediness	"the state of being heedy, heedful [n -es]"
heedinesses	"heediness, the state of being heedy, heedful [n]"
heeding	"heed, to pay attention to [v]"
heedless	paying little of no attention [adj heedlessly]
heedlessly	"heedless, paying little of no attention [adv]"
heedlessness	the state of being heedless [n -es]
heedlessnesses	"heedlessness, the state of being heedless [n]"
heeds	"heed, to pay attention to [v]"
heedy	"(spenser) heedful, careful [adj heedier, heediest]"
heehaw	"to bray like a donkey [v -ed, -ing, -s]"
heehawed	"heehaw, to bray like a donkey [v]"
heehawing	"heehaw, to bray like a donkey [v]"
heehaws	"heehaw, to bray like a donkey [v]"
heel	"to supply with the raised part of a shoe [v -ed, -ing, -s]"
heelball	"a composition of wax and lampblack, used by shoemakers for polishing, and by antiquaries in copying inscriptions [n -s]"
heelballs	"heelball, a composition of wax and lampblack, used by shoemakers for polishing, and by antiquaries in copying inscriptions [n]"
heelbar	"a shop or counter where shoes, etc. are repaired [n -s]"
heelbars	"heelbar, a shop or counter where shoes, etc. are repaired [n]"
heeled	"heel, to supply with the raised part of a shoe [v]"
heeler	a dog that herds cattle by biting at their heels [n -s]
heelers	"heeler, a dog that herds cattle by biting at their heels [n]"
heeling	the act of inclining laterally [n -s]
heelings	"heeling, the act of inclining laterally [n]"
heelless	without heels [adj]
heelpiece	a piece of armor to protect the heels [n -s]
heelpieces	"heelpiece, a piece of armor to protect the heels [n]"
heelplate	a reinforcing piece of metal for a shoe [n -s]
heelplates	"heelplate, a reinforcing piece of metal for a shoe [n]"
heelpost	the post supporting the outer end of a propeller shaft [n -s]
heelposts	"heelpost, the post supporting the outer end of a propeller shaft [n]"
heels	"heel, to supply with the raised part of a shoe [v]"
heeltap	a small amount of liquor left in the glass after drinking [n -s]
heeltaps	"heeltap, a small amount of liquor left in the glass after drinking [n]"
heeze	"(scots) to lift, hoist [v heezed, heezing, heezes]"
heezed	"heeze, (scots) to lift, hoist [v]"
heezes	"heeze, (scots) to lift, hoist [v]"
heezie	(scots) a lift [n -s]
heezies	"heezie, (scots) a lift [n]"
heezing	"heeze, (scots) to lift, hoist [v]"
heft	"to lift up, feel the weight of [v -ed, -ing, -s]"
hefte	(spenser) heaved [v]
hefted	"heft, to lift up, feel the weight of [v]"
hefter	"one who hefts, lifts up [n -s]"
hefters	"hefter, one who hefts, lifts up [n]"
heftier	"hefty, big of build [adj]"
heftiest	"hefty, big of build [adj]"
heftily	"hefty, big of build [adv]"
heftiness	the state of being hefty [n -es]
heftinesses	"heftiness, the state of being hefty [n]"
hefting	"heft, to lift up, feel the weight of [v]"
hefts	"heft, to lift up, feel the weight of [v]"
hefty	"big of build [adj heftier, heftiest, heftily]"
hegari	a kind of sorghum grain [n -s]
hegaris	"hegari, a kind of sorghum grain [n]"
hegemon	a political state having hegemony [n -s]
hegemonial	"relating to a hegemony, also hegemonic, hegemonical [adj]"
hegemonic	"relating to a hegemony, also hegemonial, hegemonical [adj]"
hegemonical	"relating to a hegemony, also hegemonial, hegemonic [adj]"
hegemonies	"hegemony, leadership [n]"
hegemonism	the state of being a hegemony [n -s]
hegemonisms	"hegemonism, the state of being a hegemony [n]"
hegemonist	one who exercises a hegemony [n -s]
hegemonists	"hegemonist, one who exercises a hegemony [n]"
hegemons	"hegemon, a political state having hegemony [n]"
hegemony	leadership [n hegemonies]
hegira	"the flight of mohammed from mecca, also hejira, hejra, hijra, hijrah [n -s]"
hegiras	"hegira, the flight of mohammed from mecca, also hejira, hejra, hijra, hijrah [n]"
hegumen	"the head of a monastery, also hegumenos [n -s]"
hegumene	the head of a nunnery [n -s]
hegumenes	"hegumene, the head of a nunnery [n]"
hegumenies	"hegumeny, the office of hegumen, the head of a monastery [n]"
hegumenoi	"hegumenos, (greek) the head of a monastery, also hegumen [n]"
hegumenos	"(greek) the head of a monastery, also hegumen [n hegumenoi or hegumenoses]"
hegumenoses	"hegumenos, (greek) the head of a monastery, also hegumen [n]"
hegumens	"hegumen, the head of a monastery, also hegumenos [n]"
hegumeny	"the office of hegumen, the head of a monastery [n hegumenies]"
heh	a hebrew letter [n -s]
hehs	"heh, a hebrew letter [n]"
heid	(scots) head [n -s]
heids	"heid, (scots) head [n]"
heifer	a young cow that has had no more than one calf [n -s]
heifers	"heifer, a young cow that has had no more than one calf [n]"
heigh	a cry used to attract attention [interj]
height	"the highest point, also heighth, highth [n -s]"
heighten	"to raise [v -ed, -ing, -s]"
heightened	"heighten, to raise [v]"
heightener	something that heightens [n -s]
heighteners	"heightener, something that heightens [n]"
heightening	"heighten, to raise [v]"
heightens	"heighten, to raise [v]"
heighth	"(archaic) height, also highth [n -s]"
heighths	"heighth, (archaic) height, also highth [n]"
heightism	discrimination on grounds of height [n -s]
heightisms	"heightism, discrimination on grounds of height [n]"
heights	"height, the highest point, also heighth, highth [n]"
heil	"to salute [v -ed, -ing, -s]"
heiled	"heil, to salute [v]"
heiling	"heil, to salute [v]"
heils	"heil, to salute [v]"
heimish	"(german) homelike, also haimish [adj]"
heinie	the buttocks [n -s]
heinies	"heinie, the buttocks [n]"
heinous	very wicked [adj heinously]
heinously	"heinous, very wicked [adv]"
heinousness	hateful or shocking evil [n -es]
heinousnesses	"heinousness, hateful or shocking evil [n]"
heir	"a person who actually succeeds to property, title, etc. on the death of its previous holder [n -s] / to inherit [v -ed, -ing, -s]"
heirdom	the state of an heir; succession by inheritance [n -s]
heirdoms	"heirdom, the state of an heir; succession by inheritance [n]"
heired	"heir, to inherit [v]"
heiress	a female inheritor [n -es]
heiresses	"heiress, a female inheritor [n]"
heiring	"heir, to inherit [v]"
heirless	without an heir [adj]
heirloom	an inherited possession [n -s]
heirlooms	"heirloom, an inherited possession [n]"
heirs	"heir, to inherit [v]"
heirship	the right of inheritance [n -s]
heirships	"heirship, the right of inheritance [n]"
heishi	(japanese) tiny beads made from shells [n]
heist	"to steal, rob [v -ed, -ing, -s]"
heisted	"heist, to steal, rob [v]"
heister	"one who heists, carries out armed holdups [n -s]"
heisters	"heister, one who heists, carries out armed holdups [n]"
heisting	"heist, to steal, rob [v]"
heists	"heist, to steal, rob [v]"
heitiki	(maori) a neck ornament made from greenstone [n -s]
heitikis	"heitiki, (maori) a neck ornament made from greenstone [n]"
hejab	"(arabic) a covering for a muslim woman's head and face, also hijab [n -s]"
hejabs	"hejab, (arabic) a covering for a muslim woman's head and face, also hijab [n]"
hejira	"(arabic) the flight of mohammed from mecca, also hegira, hejra, hijra, hijrah [n -s]"
hejiras	"hejira, (arabic) the flight of mohammed from mecca, also hegira, hejra, hijra, hijrah [n]"
hejra	"(arabic) the flight of mohammed from mecca, also hegira, hejira, hijra, hijrah [n -s]"
hejras	"hejra, (arabic) the flight of mohammed from mecca, also hegira, hejira, hijra, hijrah [n]"
heketara	(maori) a small shrub that has flowers with white petals and yellow centres [n -s]
heketaras	"heketara, (maori) a small shrub that has flowers with white petals and yellow centres [n]"
hektare	"a measure of area, 100 ares or 10000 square metres, also hectare [n -s]"
hektares	"hektare, a measure of area, 100 ares or 10000 square metres, also hectare [n]"
hektogram	"a measure of weight, containing a hundred grams, also hectogram, hectogramme [n -s]"
hektograms	"hektogram, a measure of weight, containing a hundred grams, also hectogram, hectogramme [n]"
helcoid	(greek) ulcerous [adj]
held	"hold, to keep possession of [v]"
heldentenor	(german) a tenor with striking dramatic quality suitable for heroic roles [n -s]
heldentenors	"heldentenor, (german) a tenor with striking dramatic quality suitable for heroic roles [n]"
hele	"to hide [v heled, heling, heles]"
heled	"hele, to hide [v]"
helenium	a type of daisy-like flower [n -s]
heleniums	"helenium, a type of daisy-like flower [n]"
heles	"hele, to hide [v]"
heliac	"pertaining to the sun, also heliacal [adj heliacally]"
heliacal	"pertaining to the sun, also heliac [adj heliacally]"
heliacally	"heliacal, pertaining to the sun, also heliac [adv]"
helianthemum	"a garden flower with papery yellow or orange flowers, aka rockrose [n -s]"
helianthemums	"helianthemum, a garden flower with papery yellow or orange flowers, aka rockrose [n]"
helianthus	"any plant of the genus helianthus, such as the sunflower and jerusalem artichoke [n -es]"
helianthuses	"helianthus, any plant of the genus helianthus, such as the sunflower and jerusalem artichoke [n]"
heliast	an athenian judge [n -s]
heliasts	"heliast, an athenian judge [n]"
heliborne	carried by helicopter [adj]
helibus	a scheduled helicopter service [n helibuses or helibusses]
helibuses	"helibus, a scheduled helicopter service [n]"
helibusses	"helibus, a scheduled helicopter service [n]"
helical	shaped like a helix [adj helically]
helically	"helical, shaped like a helix [adv]"
helicase	any of a group of enzymes that are able to separate the strands of the double-helix of a dna molecule [n -s]
helicases	"helicase, any of a group of enzymes that are able to separate the strands of the double-helix of a dna molecule [n]"
helices	"helix, something spiral in form [n]"
helichrysum	"a genus of composite plants, the flowers of which keep their colour and shape when dried [n -s]"
helichrysums	"helichrysum, a genus of composite plants, the flowers of which keep their colour and shape when dried [n]"
helicities	"helicity, a component of a particle's spin [n]"
helicity	a component of a particle's spin [n helicities]
helicline	a spiral-shaped ramp [n -s]
heliclines	"helicline, a spiral-shaped ramp [n]"
helicograph	an instrument for drawing spirals on a plane [n -s]
helicographs	"helicograph, an instrument for drawing spirals on a plane [n]"
helicoid	"a type of geometrical curve, a flattened spiral [n -s]"
helicoidal	"relating to a helicoid, a flattened spiral [adj helicoidally]"
helicoidally	"helicoidal, relating to a helicoid, a flattened spiral [adv]"
helicoids	"helicoid, a type of geometrical curve, a flattened spiral [n]"
helicon	a large circular brass tuba that fits around the player's shoulder [n -s]
heliconia	a tropical flowering plant [n -s]
heliconias	"heliconia, a tropical flowering plant [n]"
helicons	"helicon, a large circular brass tuba that fits around the player's shoulder [n]"
helicopt	"to travel by helicopter [v -ed, -ing, -s]"
helicopted	"helicopt, to travel by helicopter [v]"
helicopter	"a flying machine sustained by rotating blades revolving on a vertical axis above the machine [n -s] / to travel by helicopter [v -ed, -ing, -s]"
helicoptered	"helicopter, to travel by helicopter [v]"
helicoptering	"helicopter, to travel by helicopter [v]"
helicopters	"helicopter, to travel by helicopter [v]"
helicopting	"helicopt, to travel by helicopter [v]"
helicopts	"helicopt, to travel by helicopter [v]"
helictite	a distorted form of stalactite resembling a twig [n -s]
helictites	"helictite, a distorted form of stalactite resembling a twig [n]"
helideck	a landing deck for helicopters on a ship [n -s]
helidecks	"helideck, a landing deck for helicopters on a ship [n]"
helidrome	an airport for helicopters [n -s]
helidromes	"helidrome, an airport for helicopters [n]"
helilift	"to transport by helicopter [v -ed, -ing, -s]"
helilifted	"helilift, to transport by helicopter [v]"
helilifting	"helilift, to transport by helicopter [v]"
helilifts	"helilift, to transport by helicopter [v]"
heliman	a helicopter operator [n helimen]
helimen	"heliman, a helicopter operator [n]"
heling	"hele, to hide [v]"
helio	a signalling mirror [n -s]
heliocentric	referred to or measured from the sun's center or appearing as if seen from it [adj]
heliocentricism	the state of being heliocentric [n]
heliocentricity	the state of being heliocentric [n]
heliochrome	(tradename) a photograph in natural colours [n -s]
heliochromes	"heliochrome, (tradename) a photograph in natural colours [n]"
heliochromic	"like a heliochrome, a photograph that reproduces the natural colours of the subject [adj]"
heliochromies	"heliochromy, photography in natural colours [n]"
heliochromy	photography in natural colours [n heliochromies]
heliodor	a variety of clear yellow beryl occurring in sw africa [n -s]
heliodors	"heliodor, a variety of clear yellow beryl occurring in sw africa [n]"
heliogram	a message sent by reflecting the sun's rays with a mirror [n -s]
heliograms	"heliogram, a message sent by reflecting the sun's rays with a mirror [n]"
heliograph	"an apparatus for signalling by means of a movable mirror which reflects flashes of sunshine [n -s] / to signal by heliograph [v -ed, -ing, -s]"
heliographed	"heliograph, to signal by heliograph [v]"
heliographer	one who uses a heliograph [n -s]
heliographers	"heliographer, one who uses a heliograph [n]"
heliographic	"relating to heliography, also heliographical [adj]"
heliographical	"relating to heliography, also heliographic [adj]"
heliographies	"heliography, the practice of signalling by heliograph [n]"
heliographing	"heliograph, to signal by heliograph [v]"
heliographs	"heliograph, to signal by heliograph [v]"
heliography	the practice of signalling by heliograph [n heliographies]
heliogravure	photogravure [n -s]
heliogravures	"heliogravure, photogravure [n]"
heliolater	a sun worshipper [n -s]
heliolaters	"heliolater, a sun worshipper [n]"
heliolatries	"heliolatry, sun worship [n]"
heliolatrous	relating to heliolatry [adj]
heliolatry	sun worship [n heliolatries]
heliolithic	of or relating to a civilization characterized by sun worship and megaliths [adj]
heliologies	"heliology, the science of the sun [n]"
heliology	the science of the sun [n heliologies]
heliometer	instrument for measuring apparent diameter of the sun [n -s]
heliometers	"heliometer, instrument for measuring apparent diameter of the sun [n]"
heliometric	"relating to heliometry, also heliometrical [adj heliometrically]"
heliometrical	"relating to heliometry, also heliometric [adj heliometrically]"
heliometrically	"heliometrical, relating to heliometry, also heliometric [adv]"
heliometries	"heliometry, measurement by use of a heliometer, an instrument for measuring apparent diameter of the sun [n]"
heliometry	"measurement by use of a heliometer, an instrument for measuring apparent diameter of the sun [n heliometries]"
heliopause	the upper limit of the earth's atmosphere [n -s]
heliopauses	"heliopause, the upper limit of the earth's atmosphere [n]"
heliophilous	attracted by sunlight [adj]
heliophobic	afflicted with a morbid fear of the sun [adj]
heliophyte	a plant flourishing in sunlight [n -s]
heliophytes	"heliophyte, a plant flourishing in sunlight [n]"
heliopses	"heliopsis, a genus of herbaceous flowering plant in the daisy family [n]"
heliopsis	a genus of herbaceous flowering plant in the daisy family [n heliopses]
helios	"helio, a signalling mirror [n]"
heliosciophyte	a plant that thrives in sun better than shade [n -s]
heliosciophytes	"heliosciophyte, a plant that thrives in sun better than shade [n]"
helioscope	an instrument for observing the sun without injury to the eyes [n -s]
helioscopes	"helioscope, an instrument for observing the sun without injury to the eyes [n]"
helioscopic	related to a helioscope [adj]
helioses	"heliosis, exposure to the sun [n]"
heliosis	exposure to the sun [n helioses]
heliosphere	the region in space influenced by the sun or solar wind [n -s]
heliospheres	"heliosphere, the region in space influenced by the sun or solar wind [n]"
heliostat	"an instrument using a mirror to reflect sunlight in a fixed direction, used for studying the sun or signalling messages [n -s]"
heliostatic	relating to a heliostat [adj]
heliostats	"heliostat, an instrument using a mirror to reflect sunlight in a fixed direction, used for studying the sun or signalling messages [n]"
heliotactic	"relating to heliotaxis, the response of an organism to the sun's rays [adj]"
heliotaxes	"heliotaxis, the response of an organism to the sun's rays [n]"
heliotaxis	the response of an organism to the sun's rays [n heliotaxes]
heliotherapies	"heliotherapy, medical treatment by exposure to the sun's rays [n]"
heliotherapy	medical treatment by exposure to the sun's rays [n heliotherapies]
heliotrope	any of a genus of herbs or shrubs of the borage family [n -s]
heliotropes	"heliotrope, any of a genus of herbs or shrubs of the borage family [n]"
heliotropic	"turning towards the sun, also heliotropical [adj heliotropically]"
heliotropical	"turning towards the sun, also heliotropic [adj heliotropically]"
heliotropically	"heliotropical, turning towards the sun, also heliotropic [adv]"
heliotropies	"heliotropy, the tendency of stems and leaves to bend towards the sun [n]"
heliotropin	"a phenolic aldehyde of very pleasant odour, used as a perfume and in flavourings, etc., aka piperonal [n -s]"
heliotropins	"heliotropin, a phenolic aldehyde of very pleasant odour, used as a perfume and in flavourings, etc., aka piperonal [n]"
heliotropism	the movement of plants towards sunlight [n -s]
heliotropisms	"heliotropism, the movement of plants towards sunlight [n]"
heliotropy	the tendency of stems and leaves to bend towards the sun [n heliotropies]
heliotype	"a picture obtained by the process of heliotypy [n -s] / to obtain such a picture [v heliotyped, heliotyping, heliotypes]"
heliotyped	"heliotype, to obtain such a picture [v]"
heliotypes	"heliotype, a picture obtained by the process of heliotypy [n]"
heliotypic	"relating to, or obtained by, heliotypy [adj]"
heliotypies	"heliotypy, a photomechanical process in which the gelatine relief is itself used to print from [n]"
heliotyping	"heliotype, to obtain such a picture [v]"
heliotypy	a photomechanical process in which the gelatine relief is itself used to print from [n heliotypies]
heliozoan	"related to the heliozoa, sun-animalcules, an order of protozoa, also heliozoic [adj] / a member of the heliozoa [n -s]"
heliozoans	"heliozoan, a member of the heliozoa [n]"
heliozoic	"relating to the heliozoa, sun-animalcules, an order of protozoa, also heliozoan [adj]"
helipad	a landing pad for helicopters [n -s]
helipads	"helipad, a landing pad for helicopters [n]"
helipilot	the pilot of a helicopter [n -s]
helipilots	"helipilot, the pilot of a helicopter [n]"
heliport	"an airport for helicopters, also helistop [n -s]"
heliports	"heliport, an airport for helicopters, also helistop [n]"
heliski	"to ski down mountains reached by helicopter [v heliskied, heliskiing, heliskis]"
heliskied	"heliski, to ski down mountains reached by helicopter [v]"
heliskiing	"heliski, to ski down mountains reached by helicopter [v]"
heliskis	"heliski, to ski down mountains reached by helicopter [v]"
helispheric	"pertaining to rhumb lines, loxodromic, also helispherical [adj]"
helispherical	"pertaining to rhumb lines, loxodromic, also helispheric [adj]"
helistop	"an airport for helicopters, also heliport [n -s]"
helistops	"helistop, an airport for helicopters, also heliport [n]"
helitack	the use of helicopters to fight forest fires [n -s]
helitacks	"helitack, the use of helicopters to fight forest fires [n]"
helium	a gaseous element [n -s]
heliums	"helium, a gaseous element [n]"
helix	something spiral in form [n helixes or helices]
helixes	"helix, something spiral in form [n]"
hell	"to hide, conceal [v -ed, -ing, -s]"
hellacious	exceptionally powerful or violent [adj hellaciously]
hellaciously	"hellacious, exceptionally powerful or violent [adv]"
hellbender	a large north american aquatic salamander [n -s]
hellbenders	"hellbender, a large north american aquatic salamander [n]"
hellbent	stubbornly determined [adj]
hellbox	a printer's receptacle for broken type [n -es]
hellboxes	"hellbox, a printer's receptacle for broken type [n]"
hellbroth	a composition for infernal purposes; a magical preparation [n -s]
hellbroths	"hellbroth, a composition for infernal purposes; a magical preparation [n]"
hellcat	"a spiteful or furious (esp. female) person, also hellicat [n -s]"
hellcats	"hellcat, a spiteful or furious (esp. female) person, also hellicat [n]"
helldiver	a small greyish-brown north american grebe [n -s]
helldivers	"helldiver, a small greyish-brown north american grebe [n]"
hellebore	"any of various early-flowering plants constituting the genus helleborus, of the buttercup family [n -s]"
hellebores	"hellebore, any of various early-flowering plants constituting the genus helleborus, of the buttercup family [n]"
helleborine	a kind of orchid [n -s]
helleborines	"helleborine, a kind of orchid [n]"
helled	"hell, to hide, conceal [v]"
hellenisation	"the act of hellenising, also hellenization [n -s]"
hellenisations	"hellenisation, the act of hellenising, also hellenization [n]"
hellenise	"to use the greek language; to play the greek, also hellenize [v hellenised, hellenising, hellenises]"
hellenised	"hellenise, to use the greek language; to play the greek, also hellenize [v]"
hellenises	"hellenise, to use the greek language; to play the greek, also hellenize [v]"
hellenising	"hellenise, to use the greek language; to play the greek, also hellenize [v]"
hellenization	"the act of hellenizing, also hellenisation [n -s]"
hellenizations	"hellenization, the act of hellenizing, also hellenisation [n]"
hellenize	"to use the greek language; to play the greek; to grecize, also hellenise [v hellenized, hellenizing, hellenizes]"
hellenized	"hellenize, to use the greek language; to play the greek; to grecize, also hellenise [v]"
hellenizes	"hellenize, to use the greek language; to play the greek; to grecize, also hellenise [v]"
hellenizing	"hellenize, to use the greek language; to play the greek; to grecize, also hellenise [v]"
heller	"a czech monetary unit, also haler [n -s]"
helleri	a tropical fish [n helleris or helleries]
helleries	"helleri, a tropical fish [n]"
helleris	"helleri, a tropical fish [n]"
hellers	"heller, a czech monetary unit, also haler [n]"
hellery	rough play [n helleries]
hellfire	the torment of hell [n -s]
hellfires	"hellfire, the torment of hell [n]"
hellgramite	"the large brown aquatic larva of the dobson fly, also hellgrammite [n -s]"
hellgramites	"hellgramite, the large brown aquatic larva of the dobson fly, also hellgrammite [n]"
hellgrammite	"the large brown aquatic larva of the dobson fly, also hellgramite [n -s]"
hellgrammites	"hellgrammite, the large brown aquatic larva of the dobson fly, also hellgramite [n]"
hellhole	a horrible place [n -s]
hellholes	"hellhole, a horrible place [n]"
hellhound	a devilish dog [n -s]
hellhounds	"hellhound, a devilish dog [n]"
hellicat	"a wicked creature, also hellcat [n -s]"
hellicats	"hellicat, a wicked creature, also hellcat [n]"
hellier	"a slater, a tiler, a thatcher [n -s]"
