
za	(slang) pizza [n -s]
zikurat	"a babylonian temple tower, also ziggurat, zikkurat [n -s]"
zikurats	"zikurat, a babylonian temple tower, also ziggurat, zikkurat [n]"
zila	"(hindi) an administrative district in british india, also zilla, zillah [n -s]"
zilas	"zila, (hindi) an administrative district in british india, also zilla, zillah [n]"
zilch	nothing [n -es]
zilches	"zilch, nothing [n]"
zill	one of a pair of finger cymbals [n -s]
zilla	"(hindi) an administrative district in british india, also zila, zillah [n -s]"
zillah	"(hindi) an administrative district in british india, also zila, zilla [n -s]"
zillahs	"zillah, (hindi) an administrative district in british india, also zila, zilla [n]"
zillas	"zilla, (hindi) an administrative district in british india, also zila, zillah [n]"
zillion	"an extremely large but unspecified number, many millions [n -s]"
zillionaire	one who possesses zillions of pounds [n -s]
zillionaires	"zillionaire, one who possesses zillions of pounds [n]"
zillions	"zillion, an extremely large but unspecified number, many millions [n]"
zillionth	the ordinal of zillion [adj] / a zillionth part of something [n -s]
zillionths	"zillionth, a zillionth part of something [n]"
zills	"zill, one of a pair of finger cymbals [n]"
zimb	"(amharic) an ethiopian dipterous insect, also zebub [n -s]"
zimbi	a kind of shell used as money [n -s]
zimbis	"zimbi, a kind of shell used as money [n]"
zimbs	"zimb, (amharic) an ethiopian dipterous insect, also zebub [n]"
zimocca	a type of bath-sponge [n -s]
zimoccas	"zimocca, a type of bath-sponge [n]"
zin	"(short for) zinfandel, a kind of grape [n -s]"
zinc	"to coat with a metallic element [v zincked or zinced or zinked, zincking or zincing or zinking, zincs]"
zincate	a salt of zinc [n -s]
zincates	"zincate, a salt of zinc [n]"
zinced	"zinc, to coat with a metallic element [v]"
zincic	"pertaining to, containing, or resembling, zinc, also zincoid, zincous [adj]"
zincier	"zincy, of or like zinc, also zincky, zinky [adj]"
zinciest	"zincy, of or like zinc, also zincky, zinky [adj]"
zinciferous	"bearing zinc, also zinkiferous [adj]"
zincification	"the process of coating with zinc, also zinckification, zinkification [n -s]"
zincifications	"zincification, the process of coating with zinc, also zinckification, zinkification [n]"
zincified	"zincify, to coat with zinc, also zinckify, zinkify [v]"
zincifies	"zincify, to coat with zinc, also zinckify, zinkify [v]"
zincify	"to coat with zinc, also zinckify, zinkify [v zincified, zincifying, zincifies]"
zincifying	"zincify, to coat with zinc, also zinckify, zinkify [v]"
zincing	"zinc, to coat with a metallic element [v]"
zincite	an oxide of zinc [n -s]
zincites	"zincite, an oxide of zinc [n]"
zincked	"zinc, to coat with a metallic element [v]"
zinckenite	"a steel-gray metallic mineral, a sulphide of antimony and lead, also zinkenite [n -s]"
zinckenites	"zinckenite, a steel-gray metallic mineral, a sulphide of antimony and lead, also zinkenite [n]"
zinckier	"zincky, of or like zinc, also zincy, zinky [adj]"
zinckiest	"zincky, of or like zinc, also zincy, zinky [adj]"
zinckification	"the process of coating with zinc, also zincification, zinkification [n -s]"
zinckifications	"zinckification, the process of coating with zinc, also zincification, zinkification [n]"
zinckified	"zinckify, to coat with zinc, also zincify, zinkify [v]"
zinckifies	"zinckify, to coat with zinc, also zincify, zinkify [v]"
zinckify	"to coat with zinc, also zincify, zinkify [v zinckified, zinckifying, zinckifies]"
zinckifying	"zinckify, to coat with zinc, also zincify, zinkify [v]"
zincking	"zinc, to coat with a metallic element [v]"
zincky	"of or like zinc, also zincy, zinky [adj zinckier, zinckiest]"
zinco	"(short for) a zincograph, a plate or picture produced by zincography [n -s]"
zincode	(obsolete) the positive electrode of an electrolytic cell; the anode [n -s]
zincodes	"zincode, (obsolete) the positive electrode of an electrolytic cell; the anode [n]"
zincograph	a plate or picture produced by zincography [n -s]
zincographer	one who produces zincographs [n -s]
zincographers	"zincographer, one who produces zincographs [n]"
zincographic	"relating to zincography, an engraving process in which zinc is covered with wax and etched, also zincographical [adj]"
zincographical	"relating to zincography, an engraving process in which zinc is covered with wax and etched, also zincographic [adj]"
zincographies	"zincography, an engraving process in which zinc is covered with wax and etched [n]"
zincographs	"zincograph, a plate or picture produced by zincography [n]"
zincography	an engraving process in which zinc is covered with wax and etched [n zincographies]
zincoid	"like zinc, also zincic, zincous [adj]"
zincolyses	"zincolysis, (obsolete) electrolysis [n]"
zincolysis	(obsolete) electrolysis [n zincolyses]
zincos	"zinco, (short for) a zincograph, a plate or picture produced by zincography [n]"
zincous	"relating to or like zinc, also zincic, zincoid [adj]"
zincs	"zinc, to coat with a metallic element [v]"
zincy	"of or like zinc, also zincky, zinky [adj zincier or zinckier, zinciest or zinckiest]"
zindabad	"(hindi) long live, used in slogans [interj]"
zine	"(slang) a magazine for specialist interests, especially a web-based one [n -s]"
zineb	an organic fungicide [n -s]
zinebs	"zineb, an organic fungicide [n]"
zines	"zine, (slang) a magazine for specialist interests, especially a web-based one [n]"
zinfandel	a black wine-grape of california; the wine produced from this [n -s]
zinfandels	"zinfandel, a black wine-grape of california; the wine produced from this [n]"
zing	"to move very swiftly, esp. with a high-pitched hum [v -ed, -ing, -s]"
zingani	"zingano, (italian) an italian gypsy, also zingaro [n]"
zingano	"(italian) an italian gypsy, also zingaro [n zingani]"
zingara	(italian) a (female) gypsy [n zingare]
zingare	"zingara, (italian) a (female) gypsy [n]"
zingari	"zingaro, (italian) an italian gypsy, also zingano [n]"
zingaro	"(italian) an italian gypsy, also zingano [n zingari]"
zinged	"zing, to move very swiftly, esp. with a high-pitched hum [v]"
zingel	"(german) a fish of the perch family, found in the danube [n -s]"
zingels	"zingel, (german) a fish of the perch family, found in the danube [n]"
zinger	someone or something with zing [n -s]
zingers	"zinger, someone or something with zing [n]"
zingiber	a plant of the ginger family [n -s]
zingiberaceous	"belonging to the zingiber family, also zinziberaceous [adj]"
zingibers	"zingiber, a plant of the ginger family [n]"
zingier	"zingy, full of zest [adj]"
zingiest	"zingy, full of zest [adj]"
zinging	"zing, to move very swiftly, esp. with a high-pitched hum [v]"
zings	"zing, to move very swiftly, esp. with a high-pitched hum [v]"
zingy	"full of zest [adj zingier, zingiest]"
zinjanthropi	"zinjanthropus, a type of australopithecine, remains of which were discovered in the olduvai gorge in tanzania in 1959 [n]"
zinjanthropus	"a type of australopithecine, remains of which were discovered in the olduvai gorge in tanzania in 1959 [n zinjanthropuses or zinjanthropi]"
zinjanthropuses	"zinjanthropus, a type of australopithecine, remains of which were discovered in the olduvai gorge in tanzania in 1959 [n]"
zinke	"(german) an old wind instrument, like a cornet [n -s]"
zinked	"zinc, to coat with a metallic element [v]"
zinkenite	"a steel-gray metallic mineral, a sulphide of antimony and lead, also zinckenite [n -s]"
zinkenites	"zinkenite, a steel-gray metallic mineral, a sulphide of antimony and lead, also zinckenite [n]"
zinkes	"zinke, (german) an old wind instrument, like a cornet [n]"
zinkier	"zinky, of or like zinc, also zincky, zincy [adj]"
zinkiest	"zinky, of or like zinc, also zincky, zincy [adj]"
zinkiferous	"bearing zinc, also zinciferous [adj]"
zinkification	"the process of coating with zinc, also zincification, zinckification [n -s]"
zinkifications	"zinkification, the process of coating with zinc, also zincification, zinckification [n]"
zinkified	"zinkify, to coat or impregnate with zinc, also zincify, zinckify [v]"
zinkifies	"zinkify, to coat or impregnate with zinc, also zincify, zinckify [v]"
zinkify	"to coat or impregnate with zinc, also zincify, zinckify [v zinkified, zinkifying, zinkifies]"
zinkifying	"zinkify, to coat or impregnate with zinc, also zincify, zinckify [v]"
zinking	"zinc, to coat with a metallic element [v]"
zinky	"of or like zinc, also zincky, zincy [adj zinkier, zinkiest]"
zinnia	a garden flower [n -s]
zinnias	"zinnia, a garden flower [n]"
zins	"zin, (short for) zinfandel, a kind of grape [n]"
zinziberaceous	"belonging to the zingiber family, also zingiberaceous [adj]"
zip	"to fasten with a metal fastener with teeth [v zipped, zipping, zips]"
zipless	lacking energy [adj]
zipline	"a mechanism for travelling above the ground by holding a pulley that slides down a taut angled rope, also zipwire [n -s]"
ziplines	"zipline, a mechanism for travelling above the ground by holding a pulley that slides down a taut angled rope, also zipwire [n]"
ziplock	"to seal a plastic bag, esp. by pressing together [v -ed, -ing, -s]"
ziplocked	"ziplock, to seal a plastic bag, esp. by pressing together [v]"
ziplocking	"ziplock, to seal a plastic bag, esp. by pressing together [v]"
ziplocks	"ziplock, to seal a plastic bag, esp. by pressing together [v]"
zipola	nothing [n -s]
zipolas	"zipola, nothing [n]"
zipped	"zip, to fasten with a metal fastener with teeth [v]"
zipper	"to close with an interlocking fastener [v -ed, -ing, -s]"
zippered	"zipper, to close with an interlocking fastener [v]"
zippering	"zipper, to close with an interlocking fastener [v]"
zippers	"zipper, to close with an interlocking fastener [v]"
zippier	"zippy, full of zip, energy [adj]"
zippiest	"zippy, full of zip, energy [adj]"
zippily	zippy [adv]
zipping	"zip, to fasten with a metal fastener with teeth [v]"
zippo	"(us slang) nothing, zero [n -s]"
zippos	"zippo, (us slang) nothing, zero [n]"
zippy	"full of zip, energy [adj zippier, zippiest, zippily]"
zips	"zip, to fasten with a metal fastener with teeth [v]"
ziptop	having a top that fastens with a zip [adj]
zipwire	"a mechanism for travelling above the ground by holding a pulley that slides down a taut angled rope, also zipline [n -s]"
zipwires	"zipwire, a mechanism for travelling above the ground by holding a pulley that slides down a taut angled rope, also zipline [n]"
ziram	a white compound used as a fungicidal powder on vegetables and some fruit crops [n -s]
zirams	"ziram, a white compound used as a fungicidal powder on vegetables and some fruit crops [n]"
zircalloy	"an alloy of zirconium containing small amounts of tin, chromium, and nickel, used in pressurized-water reactors, also zircaloy [n -s]"
zircalloys	"zircalloy, an alloy of zirconium containing small amounts of tin, chromium, and nickel, used in pressurized-water reactors, also zircaloy [n]"
zircaloy	"an alloy of zirconium containing small amounts of tin, chromium, and nickel, used in pressurized-water reactors, also zircalloy [n -s]"
zircaloys	"zircaloy, an alloy of zirconium containing small amounts of tin, chromium, and nickel, used in pressurized-water reactors, also zircalloy [n]"
zircon	"a tetragonal mineral, zirconium silicate, of which jacinth and jargoon are varieties [n -s]"
zirconia	an oxide of zirconium [n -s]
zirconias	"zirconia, an oxide of zirconium [n]"
zirconic	pertaining to the metallic element zirconium [adj]
zirconium	a rare element of the carbon-silicon group [n -s]
zirconiums	"zirconium, a rare element of the carbon-silicon group [n]"
zircons	"zircon, a tetragonal mineral, zirconium silicate, of which jacinth and jargoon are varieties [n]"
zit	a pimple [n -s]
zite	"(italian) a type of pasta like macaroni, also ziti [n]"
zither	"a stringed instrument, also zithern [n -s]"
zitherist	one who plays the zither [n -s]
zitherists	"zitherist, one who plays the zither [n]"
zithern	"a stringed instrument, also zither [n -s]"
zitherns	"zithern, a stringed instrument, also zither [n]"
zithers	"zither, a stringed instrument, also zithern [n]"
ziti	"(italian) a type of pasta like macaroni, also zite [n -s]"
zitis	"ziti, (italian) a type of pasta like macaroni, also zite [n]"
zits	"zit, a pimple [n]"
ziz	"to take a nap [v zizzed, zizzing]"
zizania	(greek) a genus of grasses including indian rice [n -s]
zizanias	"zizania, (greek) a genus of grasses including indian rice [n]"
zizel	(german) the ground-squirrel [n -s]
zizels	"zizel, (german) the ground-squirrel [n]"
zizit	"(hebrew) the tassels on the four corners of a jewish prayer shawl, also tsitsith, tzitzis, tzitzit, tzitzith, zizith [n]"
zizith	"(hebrew) the tassels on the four corners of a jewish prayer shawl, also tsitsith, tzitzis, tzitzit, tzitzith, zizit [n]"
zizyphus	"a shrub or tree of the buckthorn family, aka the jujube tree [n -es]"
zizyphuses	"zizyphus, a shrub or tree of the buckthorn family, aka the jujube tree [n]"
zizz	"to snooze, also ziz [v -ed, -ing, -es]"
zizzed	"zizz, to snooze, also ziz [v]"
zizzes	"zizz, to snooze, also ziz [v]"
zizzing	"zizz, to snooze, also ziz [v]"
zizzle	"to sizzle [v zizzled, zizzling, zizzles]"
zizzled	"zizzle, to sizzle [v]"
zizzles	"zizzle, to sizzle [v]"
zizzling	"zizzle, to sizzle [v]"
zlote	"zloty, a monetary unit of poland [n]"
zloties	"zloty, a monetary unit of poland [n]"
zloty	a monetary unit of poland [n zloties or zlote or zlotych or zlotys]
zlotych	"zloty, a monetary unit of poland [n]"
zlotys	"zloty, a monetary unit of poland [n]"
zo	"(tibetan) a cross between a yak and a cow, also dso, dzho, dzo, zho [n -s]"
zoa	"zoon, the whole product of one fertilized egg [n]"
zoaea	"a larval stage of crabs, also zoea [n zoaeas or zoaeae]"
zoaeae	"zoaea, a larval stage of crabs, also zoea [n]"
zoaeas	"zoaea, a larval stage of crabs, also zoea [n]"
zoantharian	"a member of the zoantharia, the order including sea-anemones [n -s]"
zoantharians	"zoantharian, a member of the zoantharia, the order including sea-anemones [n]"
zoanthropic	"relating to zoanthropy, a form of mental delusion in which a person believes himself or herself to be an animal [adj]"
zoanthropies	"zoanthropy, a form of mental delusion in which a person believes himself or herself to be an animal [n]"
zoanthropy	a form of mental delusion in which a person believes himself or herself to be an animal [n zoanthropies]
zoaria	"zoarium, a colony of zooids [n]"
zoarial	"relating to a zoarium, the zooids of a polyzoan colony [adj]"
zoarium	a colony of zooids [n zoaria]
zobo	"(tibetan) a male zo, also dsobo, zobu [n -s]"
zobos	"zobo, (tibetan) a male zo, also dsobo, zobu [n]"
zobu	"(tibetan) a male zo, also dsobo, zobo [n -s]"
zobus	"zobu, (tibetan) a male zo, also dsobo, zobo [n]"
zocalo	"(spanish) in mexico, a public square or plaza [n -s]"
zocalos	"zocalo, (spanish) in mexico, a public square or plaza [n]"
zocco	"(italian) a plain face or plinth at the foot of a wall, column etc., zoccolo [n -s]"
zoccolo	"(italian) a plain face or plinth at the foot of a wall, column etc., also zocco [n -s]"
zoccolos	"zoccolo, (italian) a plain face or plinth at the foot of a wall, column etc., also zocco [n]"
zoccos	"zocco, (italian) a plain face or plinth at the foot of a wall, column etc., zoccolo [n]"
zodiac	an imaginary belt in the heavens [n -s]
zodiacal	pertaining to the zodiac [adj]
zodiacs	"zodiac, an imaginary belt in the heavens [n]"
zoea	"the larval stage of crabs, also zooea [n zoeas or zoeae]"
zoeae	"zoea, the larval stage of crabs, also zooea [n]"
zoeal	"pertaining to a zoea, a larval stage in certain crustaceans [adj]"
zoeas	"zoea, the larval stage of crabs, also zooea [n]"
zoechrome	"an early colour cinematographic process, aka zoetrope [n -s]"
zoechromes	"zoechrome, an early colour cinematographic process, aka zoetrope [n]"
zoecia	"zoecium, a sac lived in by an aquatic organism, also zooecium [n]"
zoecium	"a sac lived in by an aquatic organism, also zooecium [n zoecia]"
zoeform	"like a zoea, the larval stage of certain crustaceans [adj]"
zoetic	relating to life [adj]
zoetrope	"a slotted rotating cylinder producing primitive animation, also zootrope [n -s]"
zoetropes	"zoetrope, a slotted rotating cylinder producing primitive animation, also zootrope [n]"
zoetropic	"of or like a zoetrope, a slotted rotating cylinder producing primitive animation [adj]"
zoftig	"(yiddish) having a full rounded figure, pleasingly plump, also zaftig [adj]"
zoiatria	veterinary surgery [n -s]
zoiatrias	"zoiatria, veterinary surgery [n]"
zoiatrics	veterinary surgery [n]
zoic	pertaining to animals; containing evidence of life [adj]
zoisite	a silicate of calcium and aluminium [n -s]
zoisites	"zoisite, a silicate of calcium and aluminium [n]"
zoism	the doctrine that life originates from a single vital principle [n -s]
zoisms	"zoism, the doctrine that life originates from a single vital principle [n]"
zoist	"a person who maintains the doctrine of zoism, the doctrine that life originates from a single vital principle [n -s]"
zoists	"zoist, a person who maintains the doctrine of zoism, the doctrine that life originates from a single vital principle [n]"
zol	(south african) a cannabis cigarette [n -s]
zolpidem	"a prescription medication used for the short-term treatment of insomnia, as well as some brain disorders [n -s]"
zolpidems	"zolpidem, a prescription medication used for the short-term treatment of insomnia, as well as some brain disorders [n]"
zols	"zol, (south african) a cannabis cigarette [n]"
zombi	"in west indian magic, a reanimated corpse, also zombie [n -s]"
zombie	"in west indian magic, a reanimated corpse, also zombi [n -s]"
zombielike	like a zombie [adj]
zombies	"zombie, in west indian magic, a reanimated corpse, also zombi [n]"
zombification	the act of zombifying [n -s]
zombifications	"zombification, the act of zombifying [n]"
zombified	"zombify, to make lethargic [v]"
zombifies	"zombify, to make lethargic [v]"
zombify	"to make lethargic [v zombified, zombifying, zombifies]"
zombifying	"zombify, to make lethargic [v]"
zombiism	belief in zombies [n -s]
zombiisms	"zombiism, belief in zombies [n]"
zombis	"zombi, in west indian magic, a reanimated corpse, also zombie [n]"
zomboruk	"(urdu) a small swivel-gun, esp. one mounted on the back of a camel, also zamboorak, zumbooruk [n -s]"
zomboruks	"zomboruk, (urdu) a small swivel-gun, esp. one mounted on the back of a camel, also zamboorak, zumbooruk [n]"
zona	(latin) a girdle or belt; a zone [n zonae]
zonae	"zona, (latin) a girdle or belt; a zone [n]"
zonal	pertaining to a zone [adj zonally]
zonally	"zonal, pertaining to a zone [adv]"
zonary	pertaining to a zone [adj]
zonate	"divided into zones, also zonated [adj]"
zonated	"divided into zones, also zonate [adj]"
zonation	arrangement in zones [n -s]
zonations	"zonation, arrangement in zones [n]"
zonda	"(spanish) a dry, hot wind blowing from the andes across the argentine pampas, during july and august [n -s]"
zondas	"zonda, (spanish) a dry, hot wind blowing from the andes across the argentine pampas, during july and august [n]"
zone	"to arrange in areas [v zoned, zoning, zones]"
zoned	"zone, to arrange in areas [v]"
zoneless	without zones [adj]
zoner	one who zones [n -s]
zoners	"zoner, one who zones [n]"
zones	"zone, to arrange in areas [v]"
zonetime	standard time used at sea [n -s]
zonetimes	"zonetime, standard time used at sea [n]"
zoning	division into zones [n -s]
zonings	"zoning, division into zones [n]"
zonk	"to exhaust [v -ed, -ing, -s]"
zonked	"zonk, to exhaust [v]"
zonking	"zonk, to exhaust [v]"
zonks	"zonk, to exhaust [v]"
zonoid	a finite vector sum of line segments [n -s]
zonoids	"zonoid, a finite vector sum of line segments [n]"
zonula	"a small zone, also zonule, zonulet [n zonulae or zonulas]"
zonulae	"zonula, a small zone, also zonule, zonulet [n]"
zonular	like a zone [adj]
zonulas	"zonula, a small zone, also zonule, zonulet [n]"
zonule	"a small zone, also zonula, zonulet [n -s]"
zonules	"zonule, a small zone, also zonula, zonulet [n]"
zonulet	"a small belt or girdle, also zonula, zonule [n -s]"
zonulets	"zonulet, a small belt or girdle, also zonula, zonule [n]"
zonure	a kind of tropical lizard [n -s]
zonures	"zonure, a kind of tropical lizard [n]"
zoo	a home for animals in captivity [n -s]
zoobiotic	"parasitic on, or living in association with, an animal [adj]"
zooblast	an animal cell [n -s]
zooblasts	"zooblast, an animal cell [n]"
zoocephalic	animal-headed [adj]
zoochemical	"relating to zoochemistry, the chemistry of the animal body [adj]"
zoochemistries	"zoochemistry, the chemistry of the animal body [n]"
zoochemistry	the chemistry of the animal body [n zoochemistries]
zoochore	a plant with seeds or spores dispersed by animals [n -s]
zoochores	"zoochore, a plant with seeds or spores dispersed by animals [n]"
zoochories	"zoochory, the condition of being dispersed by animals [n]"
zoochorous	of seeds or spores spread by animals [adj]
zoochory	the condition of being dispersed by animals [n zoochories]
zooculture	domestication of animals [n -s]
zoocultures	"zooculture, domestication of animals [n]"
zoocytia	"zoocytium, a hollow vessel [n]"
zoocytium	a hollow vessel [n zoocytia]
zoodendria	"zoodendrium, the branched stalk connecting the members of the colony in certain colonial infusoria [n]"
zoodendrium	the branched stalk connecting the members of the colony in certain colonial infusoria [n zoodendria]
zooea	"the larval stage of crabs, also zoea [n zooeas or zooeae]"
zooeae	"zooea, the larval stage of crabs, also zoea [n]"
zooeal	"of or like a zooea, a larval stage in certain crustaceans [adj]"
zooeas	"zooea, the larval stage of crabs, also zoea [n]"
zooecia	"zooecium, a sac lived in by an aquatic organism, also zoecium [n]"
zooecium	"a sac lived in by an aquatic organism, also zoecium [n zooecia]"
zooey	"like a zoo [adj zooier, zooiest]"
zoogamete	a motile gamete [n -s]
zoogametes	"zoogamete, a motile gamete [n]"
zoogamies	"zoogamy, sexual reproduction of animals [n]"
zoogamous	"of or pertaining to zoogamy, sexual reproduction of animals [adj]"
zoogamy	sexual reproduction of animals [n zoogamies]
zoogenic	produced from animals [adj]
zoogenies	"zoogeny, the doctrine of the beginning of beings, also zoogony [n]"
zoogenous	originating in animals [adj]
zoogeny	"the doctrine of the beginning of beings, also zoogony [n zoogenies]"
zoogeographer	a student of zoogeography [n -s]
zoogeographers	"zoogeographer, a student of zoogeography [n]"
zoogeographic	"relating to zoogeography, also zoogeographical [adj]"
zoogeographical	"relating to zoogeography, also zoogeographic [adj]"
zoogeographies	"zoogeography, the study of the geographic distribution of animals [n]"
zoogeography	the study of the geographic distribution of animals [n zoogeographies]
zooglea	"a jellylike mass of bacteria, also zoogloea [n zoogleas or zoogleae]"
zoogleae	"zooglea, a jellylike mass of bacteria, also zoogloea [n]"
zoogleal	"of or like a zooglea, a mucilaginous mass of bacteria embedded in slimy material derived from swollen cell walls [adj]"
zoogleas	"zooglea, a jellylike mass of bacteria, also zoogloea [n]"
zoogloea	"a jellylike mass of bacteria, also zooglea [n zoogloeas or zoogloeae]"
zoogloeae	"zoogloea, a jellylike mass of bacteria, also zooglea [n]"
zoogloeal	"of or like a zoogloea, a mucilaginous mass of bacteria, also zoogloeic, zoogloeoid [adj]"
zoogloeas	"zoogloea, a jellylike mass of bacteria, also zooglea [n]"
zoogloeic	"of or like a zoogloea, a mucilaginous mass of bacteria, also zoogloeal, zoogloeoid [adj]"
zoogloeoid	"of or like a zoogloea, a mucilaginous mass of bacteria, also zoogloeal, zoogloeic [adj]"
zoogonidia	"zoogonidium, a swarm-spore [n]"
zoogonidium	a swarm-spore [n zoogonidia]
zoogonies	"zoogony, the doctrine of the beginning of beings, also zoogeny [n]"
zoogonous	giving birth to live offspring [adj]
zoogony	"the doctrine of the beginning of beings, also zoogeny [n zoogonies]"
zoograft	animal tissue grafted onto a human [n -s]
zoografting	the grafting of tissue from an animal to a human [n -s]
zoograftings	"zoografting, the grafting of tissue from an animal to a human [n]"
zoografts	"zoograft, animal tissue grafted onto a human [n]"
zoographer	"one who describes animals, their forms and habits, also zoographist [n -s]"
zoographers	"zoographer, one who describes animals, their forms and habits, also zoographist [n]"
zoographic	"relating to zoography, the painting or description of animals, also zoographical [adj]"
zoographical	"relating to zoography, the painting or description of animals, also zoographic [adj]"
zoographies	"zoography, the painting or description of animals [n]"
zoographist	"one who describes animals, their forms and habits, also zoographer [n -s]"
zoographists	"zoographist, one who describes animals, their forms and habits, also zoographer [n]"
zoography	the painting or description of animals [n zoographies]
zooid	an organic cell capable of independent movement [n -s]
zooidal	"of or pertaining to a zooid, an asexually produced organism resembling an animal [adj]"
zooids	"zooid, an organic cell capable of independent movement [n]"
zooier	"zooey, like a zoo [adj]"
zooiest	"zooey, like a zoo [adj]"
zookeeper	one who looks after animals in a zoo [n -s]
zookeepers	"zookeeper, one who looks after animals in a zoo [n]"
zooks	"(obsolete) a mild oath, also gadzooks, odzooks [interj]"
zoolater	one who worships animals [n -s]
zoolaters	"zoolater, one who worships animals [n]"
zoolatria	"worship of animals, also zoolatry [n -s]"
zoolatrias	"zoolatria, worship of animals, also zoolatry [n]"
zoolatries	"zoolatry, the worship of animals [n]"
zoolatrous	"relating to zoolatry, the worship of animals [adj]"
zoolatry	the worship of animals [n zoolatries]
zoolite	"a fossil animal, also zoolith [n -s]"
zoolites	"zoolite, a fossil animal, also zoolith [n]"
zoolith	"a fossil animal, also zoolite [n -s]"
zoolithic	"of or like a zoolite, a fossil animal [adj]"
zooliths	"zoolith, a fossil animal, also zoolite [n]"
zoolitic	"of or like a zoolite, a fossil animal [adj]"
zoologic	"relating to zoology, also zoological [adj zoologically]"
zoological	"relating to zoology, also zoologic [adj zoologically]"
zoologically	"zoological, relating to zoology, also zoologic [adv]"
zoologies	"zoology, the science of animals [n]"
zoologist	one who studies zoology [n -s]
zoologists	"zoologist, one who studies zoology [n]"
zoology	the science of animals [n zoologies]
zoom	"to move with a buzzing sound [v -ed, -ing, -s]"
zoomable	capable of being viewed at various levels of detail and magnification [adj]
zoomagnetic	"relating to zoomagnetism, animal magnetism [adj]"
zoomagnetism	animal magnetism [n -s]
zoomagnetisms	"zoomagnetism, animal magnetism [n]"
zoomancies	"zoomancy, divination by observing animals [n]"
zoomancy	divination by observing animals [n zoomancies]
zoomania	excessive interest in animals [n -s]
zoomanias	"zoomania, excessive interest in animals [n]"
zoomantic	"relating to zoomancy, divination by observing animals [adj]"
zoomed	"zoom, to move with a buzzing sound [v]"
zoometric	"relating to zoometry, the measurement of animals, also zoometrical [adj]"
zoometrical	"relating to zoometry, the measurement of animals, also zoometric [adj]"
zoometries	"zoometry, comparing measurements of animals [n]"
zoometry	comparing measurements of animals [n zoometries]
zooming	"zoom, to move with a buzzing sound [v]"
zoomorph	a god symbol with an animal form [n -s]
zoomorphic	"having the form of an animal; of, relating to, or being a deity conceived of in animal form or with animal attributes [adj]"
zoomorphies	"zoomorphy, the conception of a god or man in animal form, also zoomorphism [n]"
zoomorphism	"the conception of a god or man in animal form, also zoomorphy [n -s]"
zoomorphisms	"zoomorphism, the conception of a god or man in animal form, also zoomorphy [n]"
zoomorphs	"zoomorph, a god symbol with an animal form [n]"
zoomorphy	"the conception of a god or man in animal form, also zoomorphism [n zoomorphies]"
zooms	"zoom, to move with a buzzing sound [v]"
zoon	"the whole product of one fertilized egg [n zoons or zoa] / to zoom [v -ed, -ing, -s]"
zoonal	"like a zoon, an animal which is the sole product of a single egg, as opposed to zooid [adj]"
zooned	"zoon, to zoom [v]"
zoonic	relating to animals [adj]
zooning	"zoon, to zoom [v]"
zoonite	one of the segments of the body of an articulate animal [n -s]
zoonites	"zoonite, one of the segments of the body of an articulate animal [n]"
zoonitic	"like a zoonite, one of the segments of the body of an articulate animal [adj]"
zoonomia	"animal physiology, also zoonomy [n -s]"
zoonomias	"zoonomia, animal physiology, also zoonomy [n]"
zoonomic	"relating to zoonomia, animal physiology [adj]"
zoonomies	"zoonomy, animal physiology, also zoonomia [n]"
zoonomist	an animal physiologist [n -s]
zoonomists	"zoonomist, an animal physiologist [n]"
zoonomy	"animal physiology, also zoonomia [n zoonomies]"
zoonoses	"zoonosis, an animal disease which is infectious to humans [n]"
zoonosis	an animal disease which is infectious to humans [n zoonoses]
zoonotic	"of or like zoonosis, a disease of animals such as rabies that can be transmitted to humans [adj]"
zoons	"zoon, the whole product of one fertilized egg [n]"
zoopathies	"zoopathy, animal pathology [n]"
zoopathologies	"zoopathology, the study of animal diseases [n]"
zoopathology	the study of animal diseases [n zoopathologies]
zoopathy	animal pathology [n zoopathies]
zooperal	"relating to zoopery, experimentation on animals [adj]"
zooperies	"zoopery, experimentation on animals [n]"
zooperist	one who experiments on lower animals [n -s]
zooperists	"zooperist, one who experiments on lower animals [n]"
zoopery	experimentation on animals [n zooperies]
zoophagan	an animal that feeds on animal food [n -s]
zoophagans	"zoophagan, an animal that feeds on animal food [n]"
zoophagies	"zoophagy, the practice of feeding on animals [n]"
zoophagous	feeding on animals [adj]
zoophagy	the practice of feeding on animals [n zoophagies]
zoophile	a lover of animals [n -s]
zoophiles	"zoophile, a lover of animals [n]"
zoophilia	"the love of animals; erotic fondness for animals, also zoophilism, zoophily [n -s]"
zoophilias	"zoophilia, the love of animals; erotic fondness for animals, also zoophilism, zoophily [n]"
zoophilic	"of or like zoophilia, the erotic love of animals [adj]"
zoophilies	"zoophily, the love of animals; erotic fondness of animals, also zoophilia, zoophilism [n]"
zoophilism	"the love of animals; erotic fondness for animals, also zoophilia, zoophily [n -s]"
zoophilisms	"zoophilism, the love of animals; erotic fondness for animals, also zoophilia, zoophily [n]"
zoophilist	a lover of animals [n -s]
zoophilists	"zoophilist, a lover of animals [n]"
zoophilous	loving animals [adj]
zoophily	"the love of animals; erotic fondness of animals, also zoophilia, zoophilism [n zoophilies]"
zoophobe	one who fears or hates animals [n -s]
zoophobes	"zoophobe, one who fears or hates animals [n]"
zoophobia	fear of animals [n -s]
zoophobias	"zoophobia, fear of animals [n]"
