
ma	(colloquial) mother [n -s]
meeds	"meed, a deserved reward [n]"
meek	"having a mild and gentle temper [adj meeker, meekest, meekly]"
meeken	"to make meek [v -ed, -ing, -s]"
meekened	"meeken, to make meek [v]"
meekening	"meeken, to make meek [v]"
meekens	"meeken, to make meek [v]"
meeker	"meek, having a mild and gentle temper [adj]"
meekest	"meek, having a mild and gentle temper [adj]"
meekly	"meek, having a mild and gentle temper [adv]"
meekness	the quality of being meek [n -es]
meeknesses	"meekness, the quality of being meek [n]"
meemie	a hysterical person [n -s]
meemies	"meemie, a hysterical person [n]"
meer	"to mark off, also meare, mere [v -ed, -ing, -s]"
meercat	"a south african carnivore related to the ichneumon, aka suricate, also meerkat [n -s]"
meercats	"meercat, a south african carnivore related to the ichneumon, aka suricate, also meerkat [n]"
meered	"meer, to mark off, also meare, mere [v]"
meering	"meer, to mark off, also meare, mere [v]"
meerkat	"a south african carnivore, aka suricate, related to the ichneumon, also meercat [n -s]"
meerkats	"meerkat, a south african carnivore, aka suricate, related to the ichneumon, also meercat [n]"
meers	"meer, to mark off, also meare, mere [v]"
meerschaum	"(german) hydrated magnesium silicate occurring as a soft white or yellowish claylike mineral, aka sepiolite [n -s]"
meerschaums	"meerschaum, (german) hydrated magnesium silicate occurring as a soft white or yellowish claylike mineral, aka sepiolite [n]"
mees	"mee, a malaysian noodle food [n]"
meet	"suitable [adj meeter, meetest, meetly] / to encounter [v met, meeting, meets]"
meeter	one that meets [n -s]
meeters	"meeter, one that meets [n]"
meetest	"meet, suitable [adj]"
meeting	an assembly for a common purpose [n -s]
meetinghouse	"the place in which certain religious groups, esp. quakers, hold their meetings for worship [n -s]"
meetinghouses	"meetinghouse, the place in which certain religious groups, esp. quakers, hold their meetings for worship [n]"
meetings	"meeting, an assembly for a common purpose [n]"
meetly	"meet, suitable [adv]"
meetness	suitability [n -es]
meetnesses	"meetness, suitability [n]"
meets	"meet, to encounter [v]"
meff	"(slang) a scruffy tramp, a metho drinker [n -s]"
meffs	"meff, (slang) a scruffy tramp, a metho drinker [n]"
mefloquine	an antimalarial drug [n -s]
mefloquines	"mefloquine, an antimalarial drug [n]"
meg	"(archaic) a halfpenny, also maik, meck [n -s]"
mega	very big [adj]
megabar	a unit of pressure [n -s]
megabars	"megabar, a unit of pressure [n]"
megabit	a unit of computer information [n -s]
megabits	"megabit, a unit of computer information [n]"
megabuck	one million dollars [n -s]
megabucks	"megabuck, one million dollars [n]"
megabyte	"1,048,576 bytes [n -s]"
megabytes	"megabyte, 1,048,576 bytes [n]"
megacephalic	"having an unusually large skull, also megalocephalic, megalocephalous [adj]"
megacephalies	"megacephaly, the condition of having an unusually large head or cranial capacity, also megalocephaly [n]"
megacephalous	having a large head [adj]
megacephaly	"the condition of having an unusually large head or cranial capacity, also megalocephaly [n megacephalies]"
megachurch	"a church, usually protestant, with a very large congregation, typically housed in a complex offering sophisticated multimedia presentations and a range of secular facilities and services [n -es]"
megachurches	"megachurch, a church, usually protestant, with a very large congregation, typically housed in a complex offering sophisticated multimedia presentations and a range of secular facilities and services [n]"
megacities	"megacity, a very large city [n]"
megacity	a very large city [n megacities]
megacorporation	a huge and powerful corporation [n]
megacurie	"a unit of radiation, a million curies [n -s]"
megacuries	"megacurie, a unit of radiation, a million curies [n]"
megacycle	a million cycles; a million cycles per second [n -s]
megacycles	"megacycle, a million cycles; a million cycles per second [n]"
megadeal	a business deal involving a lot of money [n -s]
megadeals	"megadeal, a business deal involving a lot of money [n]"
megadeath	a million deaths [n -s]
megadeaths	"megadeath, a million deaths [n]"
megadose	an abnormally large dose [n -s]
megadoses	"megadose, an abnormally large dose [n]"
megadyne	a unit of force [n -s]
megadynes	"megadyne, a unit of force [n]"
megafarad	"a measure of electrical capacity, one million farads [n -s]"
megafarads	"megafarad, a measure of electrical capacity, one million farads [n]"
megafauna	"the large or macroscopic animals, esp. the large vertebrates, of a given area, habitat, or epoch [n megafaunae or megafaunas]"
megafaunae	"megafauna, the large or macroscopic animals, esp. the large vertebrates, of a given area, habitat, or epoch [n]"
megafaunal	"relating to megafauna, large animals [adj]"
megafaunas	"megafauna, the large or macroscopic animals, esp. the large vertebrates, of a given area, habitat, or epoch [n]"
megaflop	a measure of computing speed in terms of number of floating point operations per second [n -s]
megaflops	"megaflop, a measure of computing speed in terms of number of floating point operations per second [n]"
megaflora	large plants [n megaflorae or megafloras]
megaflorae	"megaflora, large plants [n]"
megafloras	"megaflora, large plants [n]"
megafog	a fog signal with megaphones pointing in several directions [n -s]
megafogs	"megafog, a fog signal with megaphones pointing in several directions [n]"
megagamete	"the larger and usually female gamete of a heterogamous organism, also macrogamete [n -s]"
megagametes	"megagamete, the larger and usually female gamete of a heterogamous organism, also macrogamete [n]"
megagametophyte	the gametophyte developing vegetatively from the megaspore of a heterosporous plant [n]
megagauss	"a unit of magnetic force, a million gauss [n -es]"
megagausses	"megagauss, a unit of magnetic force, a million gauss [n]"
megaherbivore	a large plant-eater [n -s]
megaherbivores	"megaherbivore, a large plant-eater [n]"
megahertz	"a measure of frequency, a million hertz [n -es]"
megahertzes	"megahertz, a measure of frequency, a million hertz [n]"
megahit	something extremely successful [n -s]
megahits	"megahit, something extremely successful [n]"
megajoule	a million joules [n -s]
megajoules	"megajoule, a million joules [n]"
megakaryocyte	"a large cell with a lobulated nucleus, found esp. in the bone marrow, the source of blood platelets [n -s]"
megakaryocytes	"megakaryocyte, a large cell with a lobulated nucleus, found esp. in the bone marrow, the source of blood platelets [n]"
megakaryocytic	of or like a megakaryocyte [adj]
megalith	a huge stone used in prehistoric monuments [n -s]
megalithic	relating to a megalith [adj]
megaliths	"megalith, a huge stone used in prehistoric monuments [n]"
megalitre	one million litres [n -s]
megalitres	"megalitre, one million litres [n]"
megaloblast	a large erythroblast that appears in the blood esp. in pernicious anemia [n -s]
megaloblastic	relating to megaloblast [adj]
megaloblasts	"megaloblast, a large erythroblast that appears in the blood esp. in pernicious anemia [n]"
megalocardia	the condition of having an enlarged heart [n -s]
megalocardias	"megalocardia, the condition of having an enlarged heart [n]"
megalocephalic	"having an unusually large skull, also megacephalic, megalocephalous [adj]"
megalocephalies	"megalocephaly, the condition of having an unusually large head or cranial capacity, also megacephaly [n]"
megalocephalous	"having an unusually large skull, also megacephalic, megalocephalic [adj]"
megalocephaly	"the condition of having an unusually large head or cranial capacity, also megacephaly [n megalocephalies]"
megalodon	an extinct giant shark of the cenozoic era [n -s]
megalodons	"megalodon, an extinct giant shark of the cenozoic era [n]"
megalomania	a mania for great or grandiose performance [n -s]
megalomaniac	one suffering from megalomania [n -s]
megalomaniacal	"relating to megalomania, also megalomanic [adj]"
megalomaniacs	"megalomaniac, one suffering from megalomania [n]"
megalomanias	"megalomania, a mania for great or grandiose performance [n]"
megalomanic	"relating to megalomania, also megalomaniacal [adj]"
megalopic	having large eyes [adj]
megalopolis	"a wide-spreading, thickly-populated urban area [n -es]"
megalopolises	"megalopolis, a wide-spreading, thickly-populated urban area [n]"
megalopolitan	an inhabitant of a megalopolis [n -s]
megalopolitans	"megalopolitan, an inhabitant of a megalopolis [n]"
megalops	a larval stage of most crabs [n -es]
megalopses	"megalops, a larval stage of most crabs [n]"
megalosaur	"a large dinosaur, also megalosaurian, megalosaurus [n -s]"
megalosauri	"megalosaurus, a large dinosaur, also megalosaur, megalosaurian [n]"
megalosaurian	"a large dinosaur, also megalosaur, megalosaurus [n -s]"
megalosaurians	"megalosaurian, a large dinosaur, also megalosaur, megalosaurus [n]"
megalosaurs	"megalosaur, a large dinosaur, also megalosaurian, megalosaurus [n]"
megalosaurus	"a large dinosaur, also megalosaur, megalosaurian [n megalosauri]"
megamall	a very large shopping mall [n -s]
megamalls	"megamall, a very large shopping mall [n]"
meganewton	"a measure of gravity, a million newtons [n -s]"
meganewtons	"meganewton, a measure of gravity, a million newtons [n]"
megaparsec	"a measure of astronomical distance, a million parsecs [n -s]"
megaparsecs	"megaparsec, a measure of astronomical distance, a million parsecs [n]"
megaphone	"a device to magnify sound, or direct it in a given direction in a greater volume [n -s] / to magnify sound [v megaphoned, megaphoning, megaphones]"
megaphoned	"megaphone, to magnify sound [v]"
megaphones	"megaphone, to magnify sound [v]"
megaphonic	relating to a megaphone [adj megaphonically]
megaphonically	"megaphonic, relating to a megaphone [adv]"
megaphoning	"megaphone, to magnify sound [v]"
megaphyll	a relatively large type of leaf produced by e.g. ferns [n -s]
megaphylls	"megaphyll, a relatively large type of leaf produced by e.g. ferns [n]"
megapixel	one million pixels [n -s]
megapixels	"megapixel, one million pixels [n]"
megaplex	a large building having many movie theaters [n -es]
megaplexes	"megaplex, a large building having many movie theaters [n]"
megapod	"one of a family of birds of australasia, including jungle fowl, brush turkey, etc., also megapode [n -s]"
megapode	"one of a family of birds of australasia, including jungle fowl, brush turkey, etc., also megapod [n -s]"
megapodes	"megapode, one of a family of birds of australasia, including jungle fowl, brush turkey, etc., also megapod [n]"
megapods	"megapod, one of a family of birds of australasia, including jungle fowl, brush turkey, etc., also megapode [n]"
megaproject	a major project or undertaking [n -s]
megaprojects	"megaproject, a major project or undertaking [n]"
megaquake	a very large earthquake [n -s]
megaquakes	"megaquake, a very large earthquake [n]"
megara	"megaron, the principal hall in an ancient greek house [n]"
megarad	"a measure of radiation, a million rads [n -s]"
megarads	"megarad, a measure of radiation, a million rads [n]"
megaron	the principal hall in an ancient greek house [n megarons or megara]
megarons	"megaron, the principal hall in an ancient greek house [n]"
megascope	an instrument for projecting an enlarged image [n -s]
megascopes	"megascope, an instrument for projecting an enlarged image [n]"
megascopic	visible to the naked eye [adj megascopically]
megascopically	"megascopic, visible to the naked eye [adv]"
megasporangia	"megasporangium, the sporangium in heterosporous plants where the megaspores develop [n]"
megasporangium	the sporangium in heterosporous plants where the megaspores develop [n megasporangia]
megaspore	"the larger of the two types of spore produced by some ferns, which develops into the female gametophyte [n -s]"
megaspores	"megaspore, the larger of the two types of spore produced by some ferns, which develops into the female gametophyte [n]"
megasporic	of or like a megaspore [adj]
megasporophyll	a specialised leaf bearing or subtending one or more megasporangia [n -s]
megasporophylls	"megasporophyll, a specialised leaf bearing or subtending one or more megasporangia [n]"
megass	"crushed sugarcane, also megasse [n -es]"
megasse	"crushed sugarcane, also megass [n -s]"
megasses	"megass, crushed sugarcane, also megasse [n]"
megastar	an extremely successful performer [n -s]
megastars	"megastar, an extremely successful performer [n]"
megastore	a large supermarket [n -s]
megastores	"megastore, a large supermarket [n]"
megastorm	a very large storm [n -s]
megastorms	"megastorm, a very large storm [n]"
megastructure	a very large structure [n -s]
megastructures	"megastructure, a very large structure [n]"
megatechnology	large-scale technology [n]
megathere	any of various gigantic extinct american sloths [n -s]
megatheres	"megathere, any of various gigantic extinct american sloths [n]"
megatherian	"like a megathere, any of various gigantic extinct american sloths [adj]"
megathrust	"as in megathrust earthquake, an earthquake of exceptional destructive power [adj]"
megaton	a unit of explosive force [n -s]
megatonic	"relating to a megaton, a million tons [adj]"
megatonnage	the total explosive capacity in megatons [n -s]
megatonnages	"megatonnage, the total explosive capacity in megatons [n]"
megatons	"megaton, a unit of explosive force [n]"
megavertebrate	a very large vertebrate [n -s]
megavertebrates	"megavertebrate, a very large vertebrate [n]"
megavitamin	relating to or consisting of very large doses of vitamins [n -s]
megavitamins	"megavitamin, relating to or consisting of very large doses of vitamins [n]"
megavolt	a unit of electromotive force [n -s]
megavolts	"megavolt, a unit of electromotive force [n]"
megawatt	"a unit of power, a million watts [n -s]"
megawatts	"megawatt, a unit of power, a million watts [n]"
megilla	"(hebrew) a scroll containing a book of the old testament, also megillah [n -s]"
megillah	"(hebrew) a scroll containing a book of the old testament; (figurative) a long tedious account, also megilla [n megillahs or megilloth]"
megillahs	"megillah, (hebrew) a scroll containing a book of the old testament; (figurative) a long tedious account, also megilla [n]"
megillas	"megilla, (hebrew) a scroll containing a book of the old testament, also megillah [n]"
megilloth	"megillah, (hebrew) a scroll containing a book of the old testament; (figurative) a long tedious account, also megilla [n]"
megilp	"a substance with which pigments are mixed in painting, also magilp, megilph [n -s]"
megilph	"a substance with which pigments are mixed in painting, also megilp, magilp [n -s]"
megilphs	"megilph, a substance with which pigments are mixed in painting, also megilp, magilp [n]"
megilps	"megilp, a substance with which pigments are mixed in painting, also magilp, megilph [n]"
megohm	"a measure of electrical resistance, one million ohms [n -s]"
megohms	"megohm, a measure of electrical resistance, one million ohms [n]"
megrim	"a severe headache, also migraine [n -s]"
megrims	"megrim, a severe headache, also migraine [n]"
megs	"meg, (archaic) a halfpenny, also maik, meck [n]"
meh	mediocre or boring; an expression of indifference or boredom [interj]
mehndi	"(hindi) in india, the practice of painting designs on the hands, feet etc. using henna [n -s]"
mehndis	"mehndi, (hindi) in india, the practice of painting designs on the hands, feet etc. using henna [n]"
meibomian	"as in meibomian gland, any of the small sebaceous glands in the eyelid [adj]"
meikle	"(scots) great, much, also mickle, mochell, muchel, muchell [adj]"
mein	"(scots) to lament, moan, also meane, mene [v -ed, -ing, -s]"
meined	"mein, (scots) to lament, moan, also meane, mene [v]"
meiney	"a family, including servants, etc., a retinue, also meinie, meiny, menyie [n -s]"
meineys	"meiney, a family, including servants, etc., a retinue, also meinie, meiny, menyie [n]"
meinie	"a family, including servants, etc., a retinue, also meiney, meiny, menyie [n -s]"
meinies	"meinie, a family, including servants, etc., a retinue, also meiney, meiny, menyie [n]"
meining	"mein, (scots) to lament, moan, also meane, mene [v]"
meins	"mein, (scots) to lament, moan, also meane, mene [v]"
meint	"ming, to mix [v]"
meiny	"a family, including servants, etc., a retinue, also meiney, meinie, menyie [n meinies]"
meiocyte	a cell which divides by meioisis [n -s]
meiocytes	"meiocyte, a cell which divides by meioisis [n]"
meiofauna	animals less than 1 mm and larger than 01 mm across [n meiofaunas or meiofaunae]
meiofaunae	"meiofauna, animals less than 1 mm and larger than 01 mm across [n]"
meiofaunal	relating to the meiofauna [adj]
meiofaunas	"meiofauna, animals less than 1 mm and larger than 01 mm across [n]"
meionite	"one of a group of rare minerals, a scapolite with less sodium and silica than marialite [n -s]"
meionites	"meionite, one of a group of rare minerals, a scapolite with less sodium and silica than marialite [n]"
meioses	"meiosis, a type of cell division [n]"
meiosis	a type of cell division [n meioses]
meiospore	a haploid spore [n -s]
meiospores	"meiospore, a haploid spore [n]"
meiotic	"exhibiting meiosis, deliberate understatement [adj meiotically]"
meiotically	"meiotic, exhibiting meiosis, deliberate understatement [adv]"
meishi	a japanese business card [n -s]
meishis	"meishi, a japanese business card [n]"
meister	(german) an expert in a particular activity [n -s]
meisters	"meister, (german) an expert in a particular activity [n]"
meith	"(scots) a landmark, a boundary [n -s]"
meiths	"meith, (scots) a landmark, a boundary [n]"
meitnerium	an artificially produced radioactive transuranic element [n -s]
meitneriums	"meitnerium, an artificially produced radioactive transuranic element [n]"
mejlis	"(arabic) an assembly or council in various north african and middle eastern countries, also majlis [n -es]"
mejlises	"mejlis, (arabic) an assembly or council in various north african and middle eastern countries, also majlis [n]"
mekka	"a place visited by many people, also mecca [n -s]"
mekkas	"mekka, a place visited by many people, also mecca [n]"
mekometer	a kind of range-finder [n -s]
mekometers	"mekometer, a kind of range-finder [n]"
mel	honey [n -s]
mela	"(hindi) in the indian subcontinent, a hindu festival or fair [n -s]"
melaconite	"an earthy black oxide of copper, arising from the decomposition of other ores [n -s]"
melaconites	"melaconite, an earthy black oxide of copper, arising from the decomposition of other ores [n]"
melaena	"a condition marked by black tarry stool, also melena [n -s]"
melaenas	"melaena, a condition marked by black tarry stool, also melena [n]"
melaleuca	an australian tree with a white trunk and black branches [n -s]
melaleucas	"melaleuca, an australian tree with a white trunk and black branches [n]"
melamdim	"melamed, a teacher in a jewish school [n]"
melamed	a teacher in a jewish school [n melamdim]
melamine	a colourless crystalline compound used in making synthetic resins [n -s]
melamines	"melamine, a colourless crystalline compound used in making synthetic resins [n]"
melampode	(spenser) the black hellebore [n -s]
melampodes	"melampode, (spenser) the black hellebore [n]"
melanaemia	the presence of melanin in the blood [n -s]
melanaemias	"melanaemia, the presence of melanin in the blood [n]"
melancholia	a state of melancholy [n melancholias or melancholiae]
melancholiac	one suffering from melancholia [n -s]
melancholiacs	"melancholiac, one suffering from melancholia [n]"
melancholiae	"melancholia, a state of melancholy [n]"
melancholias	"melancholia, a state of melancholy [n]"
melancholic	subject to melancholy [adj melancholically] / one given to melancholy [n -s]
melancholically	"melancholic, subject to melancholy [adv]"
melancholics	"melancholic, one given to melancholy [n]"
melancholies	"melancholy, prolonged depression of spirits [n]"
melancholily	"melancholy, sad, gloomy [adv]"
melancholiness	the state of being melancholy [n]
melancholious	melancholic [adj]
melancholy	"sad, gloomy [adj melancholily] / prolonged depression of spirits [n melancholies]"
melange	(french) a mixture often of incongruous elements [n -s]
melanges	"melange, (french) a mixture often of incongruous elements [n]"
melanian	"one of a family of fresh-water mollusks, having a turret-shaped shell [n -s]"
melanians	"melanian, one of a family of fresh-water mollusks, having a turret-shaped shell [n]"
melanic	"one who is affected with melanism, also melanist [n -s]"
melanics	"melanic, one who is affected with melanism, also melanist [n]"
melanin	"any of various dark brown or black pigments present in the hair, skin, eyes, etc. [n -s]"
melanins	"melanin, any of various dark brown or black pigments present in the hair, skin, eyes, etc. [n]"
melanisation	"darkening of the skin pigment, also melanization [n -s]"
melanisations	"melanisation, darkening of the skin pigment, also melanization [n]"
melanise	"to make dark, also melanize [v melanised, melanising, melanises]"
melanised	"melanise, to make dark, also melanize [v]"
melanises	"melanise, to make dark, also melanize [v]"
melanising	"melanise, to make dark, also melanize [v]"
melanism	abnormally dark pigmentation of the skin [n -s]
melanisms	"melanism, abnormally dark pigmentation of the skin [n]"
melanist	"one who is affected with melanism, also melanic [n -s]"
melanistic	affected with melanism [adj]
melanists	"melanist, one who is affected with melanism, also melanic [n]"
melanite	a black variety of garnet [n -s]
melanites	"melanite, a black variety of garnet [n]"
melanitic	"of or like melanite, a black variety of garnet [adj]"
melanization	"darkening of the skin pigment, also melanisation [n -s]"
melanizations	"melanization, darkening of the skin pigment, also melanisation [n]"
melanize	"to make dark, also melanise [v melanized, melanizing, melanizes]"
melanized	"melanize, to make dark, also melanise [v]"
melanizes	"melanize, to make dark, also melanise [v]"
melanizing	"melanize, to make dark, also melanise [v]"
melano	an abnormally dark person or animal [n -s]
melanoblast	a cell that is a precursor of a melanocyte or melanophore [n -s]
melanoblasts	"melanoblast, a cell that is a precursor of a melanocyte or melanophore [n]"
melanochroi	"people, like caucasians, with dark hair and light skin [n]"
melanochroic	"belonging to the melanochroi, having dark hair and white skin, also melanochroous [adj]"
melanochroous	"belonging to the melanochroi, having dark hair and white skin, also melanochroic [adj]"
melanocyte	an epidermal cell that can produce melanism [n -s]
melanocytes	"melanocyte, an epidermal cell that can produce melanism [n]"
melanogeneses	"melanogenesis, the formation of melanin [n]"
melanogenesis	the formation of melanin [n melanogeneses]
melanoid	suffering from melanosis [adj] / someone suffering from melanosis [n -s]
melanoids	"melanoid, someone suffering from melanosis [n]"
melanoma	a darkly pigmented tumor [n melanomas or melanomata]
melanomas	"melanoma, a darkly pigmented tumor [n]"
melanomata	"melanoma, a darkly pigmented tumor [n]"
melanophore	a chromatophore containing melanin [n -s]
melanophores	"melanophore, a chromatophore containing melanin [n]"
melanos	"melano, an abnormally dark person or animal [n]"
melanoses	"melanosis, the morbid deposition of black matter, often of a malignant character, causing pigmented tumors [n]"
melanosis	"the morbid deposition of black matter, often of a malignant character, causing pigmented tumors [n melanoses]"
melanosities	"melanosity, the state of being melanous, swarthy [n]"
melanosity	"the state of being melanous, swarthy [n melanosities]"
melanosome	a melanin-producing granule in a melanocyte [n -s]
melanosomes	"melanosome, a melanin-producing granule in a melanocyte [n]"
melanotic	"dark-complexioned, also melanous [adj]"
melanotropin	a hormone secreted by the pituitary gland which stimulates the production of melanin by melanocytes [n -s]
melanotropins	"melanotropin, a hormone secreted by the pituitary gland which stimulates the production of melanin by melanocytes [n]"
melanous	"dark-complexioned, also melanotic [adj]"
melanterite	native copperas [n -s]
melanterites	"melanterite, native copperas [n]"
melanuria	the presence of a dark pigment in the urine [n -s]
melanurias	"melanuria, the presence of a dark pigment in the urine [n]"
melanuric	"relating to melanuria, the presence of a dark pigment in the urine [adj]"
melaphyre	"any one of several dark-colored augitic, eruptive rocks allied to basalt [n -s]"
melaphyres	"melaphyre, any one of several dark-colored augitic, eruptive rocks allied to basalt [n]"
melas	"mela, (hindi) in the indian subcontinent, a hindu festival or fair [n]"
melastomaceous	belonging to a tropical family of plants related to the myrtles [adj]
melastome	a tropical flowering plant of the myrtle family [n -s]
melastomes	"melastome, a tropical flowering plant of the myrtle family [n]"
melatonin	a hormone secreted by the pineal gland during the hours of darkness [n -s]
melatonins	"melatonin, a hormone secreted by the pineal gland during the hours of darkness [n]"
melba	"applied to several foods named after dame nellie melba (1861-1931), australian opera singer, such as melba toast, very thin crisp toast, and melba sauce a sauce for puddings, made from raspberries [adj]"
meld	"to merge, blend [v -ed, -ing, -s]"
melded	"meld, to merge, blend [v]"
melder	(scots) the quantity of meal ground at one time [n -s]
melders	"melder, (scots) the quantity of meal ground at one time [n]"
melding	"meld, to merge, blend [v]"
melds	"meld, to merge, blend [v]"
melee	"(french) a confused struggle, also mellay [n -s]"
melees	"melee, (french) a confused struggle, also mellay [n]"
melena	"excrement or vomit stained by blood, also melaena [n -s]"
melenas	"melena, excrement or vomit stained by blood, also melaena [n]"
meliaceous	relating to the melia genus of plants which includes the neem and margosa trees [adj]
melic	"a type of perennial grass, also melick [n -s]"
melick	"a type of perennial grass, also melic [n -s]"
melicks	"melick, a type of perennial grass, also melic [n]"
melicotton	"(obsolete) a kind of large peach, also malakatoone, melocoton, melocotoon [n -s]"
melicottons	"melicotton, (obsolete) a kind of large peach, also malakatoone, melocoton, melocotoon [n]"
melics	"melic, a type of perennial grass, also melick [n]"
melik	"in india, the head of a village, an employer, also malik [n -s]"
meliks	"melik, in india, the head of a village, an employer, also malik [n]"
melilite	"a tetragonal mineral, calcium aluminium magnesium silicate, often honey-yellow [n -s]"
melilites	"melilite, a tetragonal mineral, calcium aluminium magnesium silicate, often honey-yellow [n]"
melilot	a wild flower [n -s]
melilots	"melilot, a wild flower [n]"
melinite	a powerful explosive [n -s]
melinites	"melinite, a powerful explosive [n]"
meliorable	capable of improvement [adj]
meliorate	"to make better, also ameliorate [v meliorated, meliorating, meliorates]"
meliorated	"meliorate, to make better, also ameliorate [v]"
meliorates	"meliorate, to make better, also ameliorate [v]"
meliorating	"meliorate, to make better, also ameliorate [v]"
melioration	"improvement, betterment [n -s]"
meliorations	"melioration, improvement, betterment [n]"
meliorative	tending to effect improvement [adj] / something tending to effect improvement [n -s]
melioratives	"meliorative, something tending to effect improvement [n]"
meliorator	one who meliorates [n -s]
meliorators	"meliorator, one who meliorates [n]"
meliorism	the belief that the world tends to become better and that humans can aid its betterment [n -s]
meliorisms	"meliorism, the belief that the world tends to become better and that humans can aid its betterment [n]"
meliorist	a proponent of meliorism [n -s]
melioristic	of or like meliorism [adj]
meliorists	"meliorist, a proponent of meliorism [n]"
meliorities	"meliority, the state of being better [n]"
meliority	the state of being better [n meliorities]
meliphagous	"feeding upon honey, also melliphagous [adj]"
melisma	melodic embellishment [n melismas or melismata]
melismas	"melisma, melodic embellishment [n]"
melismata	"melisma, melodic embellishment [n]"
melismatic	"in florid style, esp. of singing one syllable on a number of notes [adj]"
melittin	"a toxic polypeptide found in bee venom, responsible for the pain of the sting [n -s]"
melittins	"melittin, a toxic polypeptide found in bee venom, responsible for the pain of the sting [n]"
mell	"(scots) to mix, to meddle [v -ed, -ing, -s]"
mellay	"a confused fight, also melee [n -s]"
mellays	"mellay, a confused fight, also melee [n]"
melled	"mell, (scots) to mix, to meddle [v]"
melliferous	producing or forming honey [adj]
mellific	producing honey [adj]
mellification	honey-making [n -s]
mellifications	"mellification, honey-making [n]"
mellifluence	a smooth sweet flow [n -s]
mellifluences	"mellifluence, a smooth sweet flow [n]"
mellifluent	"sweet-sounding; flowing with honey, also mellifluous [adj mellifluently]"
mellifluently	"mellifluent, sweet-sounding; flowing with honey, also mellifluous [adv]"
mellifluous	"sweet-sounding; flowing with honey, also mellifluent [adj mellifluously]"
mellifluously	"mellifluous, sweet-sounding; flowing with honey, also mellifluent [adv]"
mellifluousness	"mellifluous, sweet-sounding; flowing with honey, also mellifluent [n]"
melling	"mell, (scots) to mix, to meddle [v]"
melliphagous	"feeding upon honey, also meliphagous [adj]"
mellite	"a mineral of a honey color, found in brown coal, and partly the result of vegetable decomposition [n -s]"
mellites	"mellite, a mineral of a honey color, found in brown coal, and partly the result of vegetable decomposition [n]"
mellitic	"containing saccharine matter; as, mellitic diabetes [adj]"
mellivorous	honey-eating [adj]
mellophone	a brass wind instrument resembling the french horn [n -s]
mellophones	"mellophone, a brass wind instrument resembling the french horn [n]"
mellotron	(tradename) an electronic keyboard instrument programmed to produce the tape-recorder sounds of orchestral instruments [n -s]
mellotrons	"mellotron, (tradename) an electronic keyboard instrument programmed to produce the tape-recorder sounds of orchestral instruments [n]"
mellow	"to make mature [v -ed, -ing, -s] / well matured [adj mellower, mellowest, mellowly]"
mellowed	"mellow, to make mature [v]"
mellower	"mellow, well matured [adj]"
mellowest	"mellow, well matured [adj]"
mellowing	"mellow, to make mature [v]"
mellowly	"mellow, well matured [adv]"
mellowness	the state of being mellow [n -es]
mellownesses	"mellowness, the state of being mellow [n]"
mellows	"mellow, to make mature [v]"
mellowspeak	a bland nonassertive form of language associated with new age philosophy [n -s]
mellowspeaks	"mellowspeak, a bland nonassertive form of language associated with new age philosophy [n]"
mellowy	matured [adj]
mells	"mell, (scots) to mix, to meddle [v]"
melocoton	"(obsolete) a kind of large peach, also malakatoone, melicotton, melocotoon [n -s]"
melocotons	"melocoton, (obsolete) a kind of large peach, also malakatoone, melicotton, melocotoon [n]"
melocotoon	"(obsolete) a kind of large peach, also malakatoone, melicotton, melocoton [n -s]"
melocotoons	"melocotoon, (obsolete) a kind of large peach, also malakatoone, melicotton, melocoton [n]"
melodeon	"a small reed organ, also melodion [n -s]"
melodeons	"melodeon, a small reed organ, also melodion [n]"
melodia	a type of organ stop [n -s]
melodias	"melodia, a type of organ stop [n]"
melodic	pertaining to melody [adj melodically]
melodica	a harmonica with a small keyboard at one end [n -s]
melodically	"melodic, pertaining to melody [adv]"
melodicas	"melodica, a harmonica with a small keyboard at one end [n]"
melodics	a branch of music concerned with melody [n]
melodies	"melody, an agreeable succession of single musical sounds [n]"
melodion	"a small reed organ, also melodeon [n -s]"
melodions	"melodion, a small reed organ, also melodeon [n]"
melodious	having melody [adj melodiously]
melodiously	"melodious, having melody [adv]"
melodiousness	"melodious, having melody [n]"
melodiousnesses	"melodiousness, melodious, having melody [n]"
melodise	"to compose a melody, also melodize [v melodised, melodising, melodises]"
melodised	"melodise, to compose a melody, also melodize [v]"
melodiser	"one who melodises, also melodizer [n -s]"
melodisers	"melodiser, one who melodises, also melodizer [n]"
melodises	"melodise, to compose a melody, also melodize [v]"
melodising	"melodise, to compose a melody, also melodize [v]"
melodist	a composer of melodies [n -s]
melodists	"melodist, a composer of melodies [n]"
melodize	"to compose a melody, also melodise [v melodized, melodizing, melodizes]"
melodized	"melodize, to compose a melody, also melodise [v]"
melodizer	"one who melodizes, also melodiser [n -s]"
melodizers	"melodizer, one who melodizes, also melodiser [n]"
melodizes	"melodize, to compose a melody, also melodise [v]"
melodizing	"melodize, to compose a melody, also melodise [v]"
melodrama	"a kind of romantic and sensational drama, also melodrame [n -s]"
melodramas	"melodrama, a kind of romantic and sensational drama, also melodrame [n]"
melodramatic	"of, relating to, or characteristic of melodrama [adj]"
melodramatics	melodramatic conduct or writing [n]
melodramatise	"to make melodramatic, also melodramatize [v melodramatised, melodramatising, melodramatises]"
